area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility,area,auv_count,w1,w2,w3
15000,5,owa,170.222222222222,95.2,115.42939159696,76.99321759451,570,10,9,662.729874705586,0.6456,0.2017,0.1527,0.111169659977459,0,0.125330579433868,0.108009237572033,0.031288980916313,0.666666666666667,0.6,0.655172413793103,0.315349273835847,0.264689394666637,0.969195453613114,1.5492341221156,15000,5,0.6456,0.2017,0.1527
15000,6,owa,160.375,143.25,111.962924348069,118.058633352631,600,12,8,664.740013094462,0.4,0.4,0.2,0.05928072717692,0.516069068076669,0.106779659153663,0.574446680053481,0.034978852455613,0.8,0.533333333333333,0.689655172413793,0.201216937679089,0.244576022901467,0.965625836656887,1.41141879723744,15000,6,0.4,0.4,0.2
15000,6,owa,162.5,124.181818181818,114.753151217235,102.935725753325,570,11,8,676.381574604791,0.6,0.2,0.2,0.070478197865894,0.311272006248873,0.121711655476475,0.402674637489691,0.056348459009919,0.733333333333333,0.533333333333333,0.655172413793103,0.241066733164304,0.241119939348652,0.945209711658018,1.42739638417098,15000,6,0.6,0.2,0.2
15000,6,owa,186.375,118.181818181818,120.431293394082,121.573696317763,570,11,8,673.443174807576,0.6,0.4,0,0.196285074430246,0.246830499309019,0.152098431205002,0.614372173302463,0.050954642423543,0.733333333333333,0.533333333333333,0.655172413793103,0.217864631701414,0.220679718167192,0.950321773847405,1.38886612371601,15000,6,0.6,0.4,0
15000,6,owa,159.875,142.666666666667,111.74133075993,117.301734725864,600,12,8,668.223528220346,0.8,0.2,0,0.056646028191279,0.509803921568627,0.105593793344749,0.565849522246379,0.041373299420486,0.8,0.533333333333333,0.689655172413793,0.203463554392188,0.245082015205323,0.959470893158777,1.40801646275629,15000,6,0.8,0.2,0
15000,6,owa,183.375,119.272727272727,120.701446908122,124.524769350592,570,11,8,701.762034465855,1,0,0,0.180476880516401,0.258547136934447,0.153544167149568,0.647891642972915,0.102937607803836,0.733333333333333,0.533333333333333,0.655172413793103,0.211001358665859,0.222540033697515,0.902183260920541,1.33572465328391,15000,6,1,0,0
15000,6,owa,188,117.454545454545,121.158691687508,119.104461407929,570,11,8,664.645537816933,0.6439,0.3089,0.473,0.204847846133579,0.239019407558733,0.155991128520293,0.586325614051414,0.034805430745122,0.733333333333333,0.533333333333333,0.655172413793103,0.223395509019516,0.219070127476316,0.965793311662656,1.40825894815849,15000,6,0.6439,0.3089,0.473
25000,3,owa,198.291666666667,126.916666666667,136.296186162045,98.469115293409,1440,24,24,1982.14901368917,0.4,0.4,0.2,0.1478392595552,0.170800222705876,0.186443383736823,0.171057212015716,0.855784195022933,1,0.96,0.979591836734694,0.415358354639014,0.400510998145831,0.424949816852781,1.24081916963763,25000,3,0.4,0.4,0.2
25000,3,owa,193.48,125.083333333333,132.467643848098,105.190062626478,1470,24,25,2093.11910903616,0.6,0.2,0.2,0.134382740711147,0.161335222958951,0.171594224245076,0.202428559487433,0.957714090718911,1,1,1,0.410048766655875,0.424097018593498,0.383769145520173,1.21791493076955,25000,3,0.6,0.2,0.2
25000,3,owa,212.8,129.818181818182,121.642577523936,123.041857517264,1410,22,25,1930.72542154303,0.6,0.4,0,0.188413903316021,0.185779953710308,0.129608757408081,0.285755333639815,0.808549835465253,0.916666666666667,1,0.959183673469388,0.352231848938932,0.421157716025314,0.445503651602947,1.21889321656719,25000,3,0.6,0.4,0
25000,3,owa,190.64,125.875,132.228615158243,102.405550333614,1470,24,25,2078.72508727867,0.8,0.2,0,0.126440271673991,0.165422381940578,0.170667141599067,0.189431299079086,0.94449268064624,1,1,1,0.412205913009415,0.426264751860061,0.388876805596742,1.22734747046622,25000,3,0.8,0.2,0
25000,3,owa,207.84,147.52380952381,137.94886733859,115.20226518937,1380,21,25,1880.90912592422,1,0,0,0.174542548941271,0.277189278302808,0.192853375939372,0.249162489987419,0.762791833721564,0.875,1,0.938775510204082,0.324947158683023,0.4091704074661,0.466362600988138,1.20048016713726,25000,3,1,0,0
25000,3,owa,158.24,93.8333333333333,88.2256954256147,61.8220916379635,1470,24,25,2139.15537104463,0.5684,0.2878,0.1439,0.035829005193768,0,0,0,1,1,1,1,0.5,0.491043706793671,0.367879441171442,1.35892314796511,25000,3,0.5684,0.2878,0.1439
25000,4,owa,391.363636363636,169.409090909091,305.215855772138,196.616295185489,1320,22,22,1622.77161871969,0.4,0.4,0.2,0.687792830421676,0.390177014360848,0.84160529906847,0.629178534974766,0.525683547004273,0.916666666666667,0.88,0.897959183673469,0.243056871491546,0.156711952048697,0.591151146636289,0.990919970176531,25000,4,0.4,0.4,0.2
25000,4,owa,325.086956521739,196.85,235.562559350142,215.770900676962,1290,20,23,1534.16542781521,0.6,0.2,0.2,0.502440549601348,0.531846940324948,0.57145211206347,0.718586434602252,0.444295676076781,0.833333333333333,0.92,0.877551020408163,0.185520940471971,0.234290431651906,0.641275782885382,1.06108715500926,25000,4,0.6,0.2,0.2
25000,4,owa,374.25,171.125,343.631974953621,202.929268572767,1320,24,20,1528.84189105355,0.6,0.4,0,0.639932081502197,0.399035784785139,0.990603803982936,0.658645583576314,0.439405822236853,1,0.8,0.897959183673469,0.257752797490648,0.131005570807154,0.644419206913358,1.03317757521116,25000,4,0.6,0.4,0
25000,4,owa,384.25,182.739130434783,346.054585745933,208.877566877499,1290,23,20,1527.93555315704,0.8,0.2,0,0.667898521773871,0.458996371126579,1,0.686410439293159,0.438573319327237,0.958333333333333,0.8,0.877551020408163,0.231273670648149,0.126963649282433,0.644955911151048,1.00319323108163,25000,4,0.8,0.2,0
