area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility
10000,3,owa,111.1,84.55555555555556,66.16217449066598,65.27463349401341,570.0,9.0,10.0,554.9722236840497,0.4,0.4,0.2,0.183736410028844,0.14249937390433262,0.2212326284291287,0.15203225932835898,0.8059865910615015,1.0,1.0,1.0,0.42689481196190865,0.4001190626199396,0.4466470511249501,1.0736013943968286
10000,3,owa,119.85714285714286,96.57142857142857,85.17712637288756,58.20039273308827,420.0,7.0,7.0,454.4384209078148,0.6,0.2,0.2,0.22453960505879744,0.2508318128152839,0.35341121913124157,0.09833238477359685,0.40618380554701516,0.7777777777777778,0.7,0.7368421052631579,0.32167731217411255,0.2515829716178168,0.6661877071748624,1.1136565051578833
10000,3,owa,113.7,86.44444444444444,69.20830072244867,67.4112585387469,570.0,9.0,10.0,580.665228897148,0.6,0.4,0.0,0.19585089860217442,0.15952917605810168,0.2424071586047335,0.16825117253053654,0.9081625236212032,1.0,1.0,1.0,0.41878079634612186,0.3921561175354429,0.4032645327287682,1.0181233878426115
10000,3,owa,109.6,83.11111111111111,67.52810114644454,65.99705380629587,570.0,9.0,10.0,558.3828873811588,0.8,0.2,0.0,0.17674728200576878,0.1294765840220386,0.2307275912079757,0.1575160817562949,0.8195501170487992,1.0,1.0,1.0,0.42874027116648844,0.3995177534572106,0.4406298417757249,1.0691289896708187
10000,3,owa,98.4,68.75,53.45652439132196,59.533304004685355,540.0,8.0,10.0,603.7585415809301,1.0,0.0,0.0,0.1245617927668072,0.0,0.13291187250569902,0.10845038478184527,1.0,0.8888888888888888,1.0,0.9473684210526315,0.420367952256616,0.435984838326541,0.36787944117144233,1.0062398125913288
10000,4,owa,286.2857142857143,166.66666666666666,175.7817911367332,176.98305003587208,480.0,9.0,7.0,474.6549106263124,0.4,0.4,0.2,1.0,0.8827948910593538,0.9832312141384183,1.0,0.48658073354117787,1.0,0.7,0.8421052631578947,0.1320681763020407,0.08468236689547701,0.6147247123759931,0.7891340721257724
10000,4,owa,285.14285714285717,164.55555555555554,178.1941156636292,176.86089951647816,480.0,9.0,7.0,480.4413949385899,0.6,0.2,0.2,0.9946749500776572,0.8637615827698472,1.0,0.9990727672707318,0.5095924219733128,1.0,0.7,0.8421052631578947,0.13437302730557255,0.08383420695830271,0.6007403774992067,0.7770305082839306
10000,4,owa,197.625,124.5,126.12571676137833,171.72735866566433,480.0,8.0,8.0,510.9226345624858,0.6,0.4,0.0,0.5868926114932328,0.5026296018031555,0.6380570600628375,0.9601045572497884,0.6308102031676881,0.8888888888888888,0.8,0.8421052631578947,0.16715511010866274,0.18165325879478803,0.532160468199835,0.7901422077058917
10000,4,owa,220.71428571428572,173.44444444444446,116.86418653821235,160.46581498181405,480.0,9.0,7.0,504.8479473825167,0.8,0.2,0.0,0.6944752607055692,0.9439018281993491,0.5736774066077229,0.874619272884566,0.6066523896899021,1.0,0.7,0.8421052631578947,0.13961142374597343,0.15370155428727922,0.5451728439752999,0.761635044864913
10000,4,owa,197.33333333333334,179.66666666666666,88.00606039737643,166.77754645035404,450.0,9.0,6.0,547.6493276590901,1.0,0.0,0.0,0.5855336143776348,1.0,0.373075981622479,0.9225310134569376,0.7768649011625505,1.0,0.6,0.7894736842105263,0.12757959118978787,0.166293997958916,0.45984541461519585,0.6705720047844417
10000,5,owa,245.28571428571428,83.22222222222223,133.64968423171862,81.33691931985403,480.0,9.0,7.0,391.82916991184004,0.4,0.4,0.2,0.8089638340359441,0.13047833708990741,0.6903583976038469,0.27395951103778127,0.15719936194767803,1.0,0.7,0.8421052631578947,0.4002465677025447,0.12776864261806856,0.8545336803358882,1.318664569347467
10000,5,owa,185.33333333333334,75.375,112.99498513945947,54.00248010177734,420.0,8.0,6.0,352.3000565009351,0.6,0.2,0.2,0.5296205901930332,0.059729526671675436,0.5467814359422402,0.0664664376972115,0.0,0.8888888888888888,0.6,0.7368421052631579,0.4164380547419851,0.15251250208463593,1.0,1.492694305784303
10000,5,owa,194.5,105.875,104.88040808463704,113.54349386908966,420.0,8.0,6.0,444.2045058509066,0.6,0.4,0.0,0.5723319281118261,0.33471074380165294,0.49037459537311123,0.5184364904877105,0.3654855763595907,0.8888888888888888,0.6,0.7368421052631579,0.2655760625181515,0.15407554462207737,0.6938596472225312,1.0364734820517214
10000,5,owa,203.66666666666666,106.5,100.93099953268404,105.02924762723408,420.0,8.0,6.0,421.6268078505537,0.8,0.2,0.0,0.6150432660306191,0.34034560480841475,0.4629210809105213,0.453805674182809,0.27569859624169796,0.8888888888888888,0.6,0.7368421052631579,0.276691560075698,0.15233486302046545,0.7590416743007706,1.1119006658867012
10000,5,owa,199.66666666666666,107.25,104.17421305998268,107.82889885634292,420.0,8.0,6.0,440.6325103913633,1.0,0.0,0.0,0.5964055913024184,0.34710743801652894,0.48546562354410905,0.47505755475643097,0.3512804662858266,0.8888888888888888,0.6,0.7368421052631579,0.27138158699835196,0.15189124199006024,0.7037863378324583,1.0511135458258403
10000,6,owa,73.16666666666667,135.28571428571428,35.74026674028423,45.24641527500378,390.0,7.0,6.0,449.5632092188532,0.4,0.4,0.2,0.006989128023075217,0.5998712031769883,0.009760891986041607,0.0,0.386796065708327,0.7777777777777778,0.6,0.6842105263157895,0.27562356967467555,0.2974875557399684,0.6792295990104482,1.103596946555108
10000,6,owa,90.16666666666667,143.57142857142858,61.35606462825551,62.23840492508663,390.0,7.0,6.0,470.72424500484505,0.6,0.2,0.2,0.08619924561792768,0.6745733605237739,0.18782392814380772,0.12898454314494326,0.470949264115054,0.7777777777777778,0.6,0.6842105263157895,0.2405394161708489,0.2591518077616628,0.6244092575640205,0.9945245776157008
10000,6,owa,78.83333333333333,140.71428571428572,34.33608403220534,45.36046107097489,390.0,7.0,6.0,488.07639759161174,0.6,0.4,0.0,0.03339250055469266,0.6488139959214341,0.0,0.0008657105609091539,0.539955297382321,0.7777777777777778,0.6,0.6842105263157895,0.2668257809529173,0.2949915902975459,0.5827743033285873,0.9970958794302776
10000,6,owa,71.66666666666667,144.0,35.3817278643464,51.58072729781375,420.0,8.0,6.0,444.08356157970746,0.8,0.2,0.0,0.0,0.6784372652141247,0.007268581533355649,0.04808314736677599,0.36500460523165007,0.8888888888888888,0.6,0.7368421052631579,0.2897411225595972,0.29890971757016777,0.6941934539489522,1.1333894352936333
10000,6,owa,156.14285714285714,133.0,142.84423751232038,50.0,390.0,6.0,7.0,419.34985393310046,1.0,0.0,0.0,0.3936099400931884,0.5792637114951165,0.7542724743942131,0.03608399997180019,0.26664360683965466,0.6666666666666666,0.7,0.6842105263157895,0.2338935199220444,0.16861325685258452,0.7659460007432799,1.0841461490916164
20000,3,owa,157.5,82.3157894736842,86.87225951754802,62.0627394314092,1170.0,19.0,20.0,1728.0673427599586,6.82,2.39,0.79,0.0738161559888579,0.009700235769619385,0.07967848917598624,0.009223423005629585,0.9912762618120075,1.0,1.0,1.0,0.4952692264814282,0.4617015038466408,0.37110276437263373,1.0972227427773824
20000,3,owa,152.65,80.63157894736842,86.66588899786048,60.56512612819341,1170.0,19.0,20.0,1706.67423761965,0.6,0.2,0.2,0.056928969359331456,0.0010778039744021863,0.07882643631470825,0.003043094502801281,0.9712784429622362,1.0,1.0,1.0,0.4989697768386194,0.46611317579040357,0.3785987117190271,1.1106250764528482
20000,3,owa,151.65,87.36842105263158,89.4517070532298,59.827725388369885,1170.0,19.0,20.0,1713.210686983505,0.6,0.4,0.0,0.05344707520891363,0.03556753115527113,0.09032839041489298,0.0,0.9773885765516226,1.0,1.0,1.0,0.4911090544817675,0.46411792332621343,0.37629247589317466,1.0994604920380489
20000,3,owa,156.95,80.42105263157895,87.1329746029475,61.72818174102191,1170.0,19.0,20.0,1737.399752943001,0.8,0.2,0.0,0.07190111420612806,0.0,0.08075491731518611,0.007842775260780444,1.0,1.0,1.0,1.0,0.49803931623478964,0.4619099338822235,0.36787944117144233,1.0968737243473439
20000,3,owa,136.3,101.36842105263158,67.57381928403618,93.1320511283222,1170.0,19.0,20.0,1704.217177509321,1.0,0.0,0.0,0.0,0.10724149545301448,0.0,0.1374398005120071,0.9689816355251156,1.0,1.0,1.0,0.4391330434303243,0.5,0.37946927943628084,1.068602322866605
20000,4,owa,404.0,165.88235294117646,270.0259246813165,133.85387664956755,990.0,17.0,16.0,1300.314405663354,0.4,0.4,0.2,0.9321030640668524,0.4375250133734868,0.835874697300206,0.3054900297772921,0.5914219305958223,0.8947368421052632,0.8,0.8461538461538461,0.28841411646335696,0.11663519548348755,0.5535396299361847,0.9002713441412854
20000,4,owa,218.61111111111111,275.75,112.4079434543395,302.1470944203612,1020.0,16.0,18.0,1342.321893680399,0.6,0.2,0.2,0.2865985762921696,1.0,0.18510901576465197,1.0,0.6306896353160684,0.8421052631578947,0.9,0.8717948717948718,0.1003814080186253,0.3457909432657651,0.532224633512262,0.8055015131637698
20000,4,owa,205.88888888888889,275.0,101.53868511638015,298.65699389098523,1020.0,16.0,18.0,1290.0656512295352,0.6,0.4,0.0,0.24230114515629833,0.9961603233411923,0.14023253495309917,0.9855971045842595,0.5818416133272866,0.8421052631578947,0.9,0.8717948717948718,0.10200557448659402,0.36496435488196455,0.5588681991477865,0.8433559510753628
20000,4,owa,194.52941176470588,236.5,106.27094949177011,299.1708413393463,930.0,14.0,17.0,1329.0994392981054,0.8,0.2,0.0,0.2027486482058004,0.7990569215223982,0.15977088474976556,0.9877176426593369,0.6183295666980603,0.7368421052631579,0.85,0.7948717948717948,0.10571372498561481,0.34879732590263884,0.5388437888418374,0.8189561767787716
20000,4,owa,423.5,174.94117647058823,277.5564807386057,141.3817839169156,990.0,17.0,16.0,1323.0851509895729,1.0,0.0,0.0,1.0,0.4839022843896737,0.8669665017175358,0.33655608651646346,0.6127075381371986,0.8947368421052632,0.8,0.8461538461538461,0.27349096185743327,0.10711449112892034,0.5418817156665424,0.8689299230884359
20000,5,owa,347.54545454545456,215.05882352941177,266.24213176594105,251.90610120346318,840.0,17.0,11.0,1181.2637869994824,0.4,0.4,0.2,0.7355343124841732,0.6892873417470727,0.8202523517010843,0.7926662098139371,0.4801359489499155,0.8947368421052632,0.55,0.717948717948718,0.16564489364067653,0.09583863566818004,0.618699274571754,0.8322634860465206
20000,5,owa,340.3076923076923,168.0,309.77771186647817,168.69054508181543,900.0,17.0,13.0,1132.4024309872295,0.6,0.2,0.2,0.7103331904863939,0.44836645335129677,1.0,0.4492534795230229,0.43446139446711857,0.8947368421052632,0.65,0.7692307692307693,0.25906196869026565,0.09952832787496524,0.6476133813102389,0.9564395139379872
20000,5,owa,342.8181818181818,224.85714285714286,285.5488813432188,180.34576071145506,750.0,14.0,11.0,1095.5048451739367,0.6,0.4,0.0,0.7190744492276525,0.7394505124380505,0.8999651481034215,0.49735205156948975,0.39997031744726863,0.7368421052631579,0.55,0.6410256410256411,0.16578434237971962,0.09093555022609087,0.6703399431410496,0.8815920606338147
