area,auv_count,utility,w1,w2,w3
10000,3,1.1136565051578833,0.6,0.2,0.2
10000,4,0.7901422077058917,0.6,0.4,0.0
10000,5,1.492694305784303,0.6,0.2,0.2
10000,6,1.1333894352936331,0.8,0.2,0.0
20000,3,1.1106250764528482,0.6,0.2,0.2
20000,4,0.9002713441412854,0.4,0.4,0.2
20000,5,1.038200546254574,1.0,0.0,0.0
20000,6,1.2801524247147948,0.6,0.2,0.2
30000,3,1.120813140986899,0.4,0.4,0.2
30000,4,0.915883502844044,0.4,0.4,0.2
30000,5,1.11314056964919,0.6,0.4,0.0
30000,6,1.257520241965644,0.6,0.2,0.2
40000,3,1.1104189282543688,0.4,0.4,0.2
40000,4,0.9952261262110508,0.6,0.4,0.0
40000,5,1.2010704979007074,0.8,0.2,0.0
40000,6,1.3682320853387853,1.0,0.0,0.0
50000,3,1.0926459966621933,0.6,0.4,0.0
50000,4,1.0967146990835337,0.6,0.2,0.2
50000,5,0.9842876575353596,0.6,0.2,0.2
50000,6,1.2317889232320085,1.0,0.0,0.0
60000,3,1.1261300514895416,0.6,0.2,0.2
60000,4,0.8996017714720126,0.8,0.2,0.0
60000,5,1.214179657433308,0.4,0.4,0.2
60000,6,1.2030796545269786,0.8,0.2,0.0
