area,auv_count,method,run_index,bagfile,w1,w2,w3,realization,transmitted_data,priority_objects,regular_objects,travelled_distance,regular_latency,regular_std,priority_latency,priority_std,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility,utility_baseline,utility_a0.8_b0.4_g0.8,utility_a0.8_b0.4_g1.0,utility_a0.8_b0.4_g1.2,utility_a0.8_b0.5_g0.8,utility_a0.8_b0.5_g1.0,utility_a0.8_b0.5_g1.2,utility_a0.8_b0.6_g0.8,utility_a0.8_b0.6_g1.0,utility_a0.8_b0.6_g1.2,utility_a1.0_b0.4_g0.8,utility_a1.0_b0.4_g1.0,utility_a1.0_b0.4_g1.2,utility_a1.0_b0.5_g0.8,utility_a1.0_b0.5_g1.0,utility_a1.0_b0.5_g1.2,utility_a1.0_b0.6_g0.8,utility_a1.0_b0.6_g1.0,utility_a1.0_b0.6_g1.2,utility_a1.2_b0.4_g0.8,utility_a1.2_b0.4_g1.0,utility_a1.2_b0.4_g1.2,utility_a1.2_b0.5_g0.8,utility_a1.2_b0.5_g1.0,utility_a1.2_b0.5_g1.2,utility_a1.2_b0.6_g0.8,utility_a1.2_b0.6_g1.0,utility_a1.2_b0.6_g1.2
10000,3,owa,0,results_0.bag,4.0,4.0,2.0,0,570.0,9.0,10.0,571.725895832591,104.0,72.75377042539522,85.33333333333333,65.19969325081216,0.0,0.4999999999999985,0.7712877695342927,0.03737163656950838,0.25950430444247286,1.0,1.0,1.0,0.3687992181354043,0.3162006017111904,0.7714338873940453,1.2983334063850447,1.2983334063850447,1.038666725108036,1.192953502586845,1.347240280065654,1.0702867852791549,1.224573562757964,1.378860340236773,1.1019068454502738,1.256193622929083,1.410480400407892,1.1124265687351167,1.2667133462139257,1.4210001236927348,1.1440466289062359,1.2983334063850447,1.452620183863854,1.1756666890773548,1.3299534665561636,1.484240244034973,1.1861864123621975,1.3404731898410067,1.4947599673198155,1.2178064725333164,1.3720932500121257,1.5263800274909345,1.2494265327044356,1.4037133101832446,1.5580000876620537
10000,3,owa,1,results_1.bag,6.0,2.0,2.0,0,570.0,9.0,10.0,566.3958509962729,108.7,69.04756814448041,83.0,66.51127723927725,1.0,0.0,0.0,0.7471801639733643,0.0,1.0,1.0,1.0,0.3214360391700473,0.2689414213699951,1.0,1.4559067498550449,1.4559067498550449,1.164725399884036,1.364725399884036,1.5647253998840358,1.1916195420210354,1.3916195420210355,1.5916195420210353,1.2185136841580348,1.418513684158035,1.6185136841580348,1.2290126077180454,1.4290126077180454,1.6290126077180453,1.255906749855045,1.4559067498550449,1.6559067498550448,1.2828008919920444,1.4828008919920443,1.6828008919920443,1.293299815552055,1.4932998155520547,1.6932998155520549,1.3201939576890545,1.5201939576890542,1.7201939576890544,1.347088099826054,1.5470880998260537,1.7470880998260538
10000,3,owa,2,results_2.bag,6.0,4.0,0.0,0,570.0,9.0,10.0,586.9351821174633,105.4,73.3427266711264,87.66666666666667,65.13063795173512,0.29787234042553296,1.0,0.8938538667660848,0.0,1.0,1.0,1.0,1.0,0.2689414213699951,0.23295034715453006,0.36787944117144233,0.7532960361187024,0.7532960361187024,0.602636828894962,0.6762127171292505,0.749788605363539,0.625931863610415,0.6995077518447035,0.773083640078992,0.649226898325868,0.7228027865601565,0.7963786747944449,0.656425113168961,0.7300010014032494,0.8035768896375379,0.6797201478844139,0.7532960361187024,0.826871924352991,0.703015182599867,0.7765910708341555,0.850166959068444,0.7102133974429601,0.7837892856772485,0.8573651739115369,0.7335084321584131,0.8070843203927015,0.8806602086269899,0.756803466873866,0.8303793551081544,0.9039552433424429
10000,3,owa,3,results_3.bag,8.0,2.0,0.0,0,570.0,9.0,10.0,568.2550102034941,108.6,69.3096113264403,83.11111111111111,66.97843765803373,0.9787234042553173,0.02380952380952446,0.054533100466828764,1.0,0.09051702785506414,1.0,1.0,1.0,0.264286016011228,0.2624532500736625,0.9134587795248196,1.3089714205728789,1.3089714205728789,1.0471771364583031,1.229868892363267,1.4125606482682307,1.0734224614656693,1.2561142173706332,1.438805973275597,1.0996677864730355,1.2823595423779994,1.465051298282963,1.1000343396605485,1.2827260955655126,1.4654178514704763,1.126279664667915,1.3089714205728789,1.4916631764778425,1.1525249896752812,1.335216745580245,1.5179085014852087,1.1528915428627942,1.335583298767758,1.518275054672722,1.1791368678701604,1.3618286237751245,1.5445203796800882,1.2053821928775266,1.3880739487824907,1.5707657046874544
10000,3,owa,4,results_4.bag,10.0,0.0,0.0,0,570.0,9.0,10.0,580.5139638165587,105.7,73.85278148677499,87.44444444444444,65.51356941716561,0.3617021276595749,0.9523809523809511,1.0,0.2072364575690688,0.6873696488450929,1.0,1.0,1.0,0.23873681071383504,0.20396380120475327,0.502897126919951,0.8436158382361627,0.8436158382361627,0.6748926705889302,0.7754720959729204,0.8760515213569107,0.6952890507094056,0.7958684760933957,0.896447901477386,0.7156854308298808,0.816264856213871,0.9168442815978612,0.7226400327316973,0.8232194581156874,0.9237988834996776,0.7430364128521725,0.8436158382361627,0.9441952636201529,0.7634327929726479,0.864012218356638,0.9645916437406282,0.7703873948744642,0.8709668202584544,0.9715462456424446,0.7907837749949396,0.8913632003789297,0.9919426257629199,0.8111801551154149,0.911759580499405,1.0123390058833952
10000,4,owa,0,results_0.bag,4.0,4.0,2.0,0,480.0,9.0,7.0,643.1291582703122,91.71428571428571,51.1980282358422,56.0,36.81372026839993,1.0,0.819672131147541,0.9077202486794332,0.36857249239531004,1.0,1.0,0.7777777777777778,0.9411764705882353,0.23357303044289132,0.10051781214149633,0.36787944117144233,0.6517113776850818,0.6517113776850818,0.5213691021480655,0.5949449903823539,0.6685208786166423,0.5314208833622152,0.6049967715965036,0.678572659830792,0.5414726645763648,0.6150485528106532,0.6886244410449417,0.5680837082366437,0.6416595964709322,0.7152354847052207,0.5781354894507933,0.6517113776850818,0.7252872659193703,0.5881872706649429,0.6617631588992314,0.7353390471335199,0.614798314325222,0.6883742025595105,0.7619500907937989,0.6248500955393717,0.6984259837736602,0.7720018720079486,0.6349018767535213,0.7084777649878098,0.7820536532220982
10000,4,owa,1,results_1.bag,6.0,2.0,2.0,0,480.0,8.0,8.0,621.9326493139915,81.125,48.35416217865841,49.75,41.97873611382656,0.6637474798387099,0.0,0.815859511023846,1.0,0.7288688567584971,0.8888888888888888,0.8888888888888888,0.9411764705882353,0.23905904121777344,0.16487714519120975,0.4824544066013083,0.8039520204146866,0.8039520204146866,0.6431616163317493,0.7396524976520109,0.8361433789722726,0.6596493308508703,0.7561402121711319,0.8526310934913937,0.6761370453699913,0.7726279266902529,0.8691188080105146,0.6909734245753041,0.7874643058955657,0.8839551872158273,0.707461139094425,0.8039520204146866,0.9004429017349482,0.7239488536135459,0.8204397349338075,0.9169306162540692,0.7387852328188587,0.8352761141391203,0.931766995459382,0.7552729473379797,0.8517638286582413,0.948254709978503,0.7717606618571007,0.8682515431773623,0.9647424244976239
10000,4,owa,2,results_2.bag,6.0,4.0,0.0,0,480.0,8.0,8.0,564.9510902589939,88.25,54.05486630663859,52.875,35.68688234391695,0.8899949596774195,0.4098360655737705,1.0,0.23081561353486146,0.0,0.8888888888888888,0.8888888888888888,0.9411764705882353,0.3067548811563259,0.1166622614523908,1.0,1.3650860118825212,1.3650860118825212,1.0920688095060171,1.2920688095060169,1.492068809506017,1.103735035651256,1.303735035651256,1.503735035651256,1.1154012617964952,1.3154012617964952,1.5154012617964951,1.1534197857372823,1.353419785737282,1.5534197857372822,1.1650860118825213,1.3650860118825212,1.5650860118825212,1.1767522380277604,1.3767522380277604,1.5767522380277603,1.2147707619685475,1.4147707619685472,1.6147707619685474,1.2264369881137864,1.4264369881137864,1.6264369881137863,1.2381032142590256,1.4381032142590255,1.6381032142590255
10000,4,owa,3,results_3.bag,8.0,2.0,0.0,0,510.0,8.0,9.0,600.1105025796702,60.22222222222222,23.096416268426676,57.375,38.48909864215729,0.0,1.0,0.0,0.5733889000299753,0.44973498597568384,0.8888888888888888,1.0,1.0,0.15265227890079774,0.5,0.6377971544173182,1.040449433318116,1.040449433318116,0.8323595466544927,0.9599189775379564,1.0874784084214202,0.8823595466544927,1.0099189775379565,1.13747840842142,0.9323595466544927,1.0599189775379565,1.18747840842142,0.8628900024346523,0.990449433318116,1.1180088642015797,0.9128900024346522,1.040449433318116,1.1680088642015796,0.9628900024346523,1.090449433318116,1.2180088642015796,0.8934204582148119,1.0209798890982755,1.1485393199817393,0.9434204582148118,1.0709798890982754,1.1985393199817391,0.9934204582148118,1.1209798890982756,1.2485393199817392
10000,4,owa,4,results_4.bag,10.0,0.0,0.0,0,480.0,9.0,7.0,610.9874424897496,91.0,50.59644256269407,53.111111111111114,33.798832984455416,0.977318548387097,0.4408014571949002,0.8882882140521959,0.0,0.5888653096938993,1.0,0.7777777777777778,0.9411764705882353,0.39155001462569683,0.10426179213691737,0.554956631520226,0.9986375422143815,0.9986375422143815,0.7989100337715053,0.9099013600755504,1.0208926863795957,0.809336212985197,0.9203275392892422,1.0313188655932874,0.8197623921988888,0.930753718502934,1.0417450448069792,0.8772200366966446,0.9882113630006898,1.099202689304735,0.8876462159103363,0.9986375422143815,1.1096288685184268,0.8980723951240281,1.0090637214280733,1.1200550477321185,0.955530039621784,1.066521365925829,1.1775126922298744,0.9659562188354757,1.0769475451395207,1.1879388714435661,0.9763823980491674,1.0873737243532124,1.1983650506572578
