area,auv_count,w1,w2,w3,n,utility_mean,utility_sd,utility_sem,utility_ci_low,utility_ci_high,priority_latency_mean,priority_latency_sd,priority_latency_sem,priority_latency_ci_low,priority_latency_ci_high,regular_latency_mean,regular_latency_sd,regular_latency_sem,regular_latency_ci_low,regular_latency_ci_high,priority_objects_mean,priority_objects_sd,priority_objects_sem,priority_objects_ci_low,priority_objects_ci_high,regular_objects_mean,regular_objects_sd,regular_objects_sem,regular_objects_ci_low,regular_objects_ci_high,travelled_distance_mean,travelled_distance_sd,travelled_distance_sem,travelled_distance_ci_low,travelled_distance_ci_high
30000,3,10.0,0.0,0.0,1,1.081455915437017,0.0,,,,110.78571428571429,0.0,,,,155.17241379310346,0.0,,,,28.0,0.0,,,,29.0,0.0,,,,2683.7921864860546,0.0,,,
30000,4,4.0,4.0,2.0,1,0.858551003262189,0.0,,,,236.78571428571428,0.0,,,,319.04347826086956,0.0,,,,28.0,0.0,,,,23.0,0.0,,,,1610.3052531766607,0.0,,,
30000,4,6.0,2.0,2.0,1,0.7097509938195995,0.0,,,,237.85714285714286,0.0,,,,317.0,0.0,,,,28.0,0.0,,,,23.0,0.0,,,,1625.7416370969972,0.0,,,
30000,4,6.0,4.0,0.0,1,1.6964285714285714,0.0,,,,236.44,0.0,,,,285.18518518518516,0.0,,,,25.0,0.0,,,,27.0,0.0,,,,1549.9323128744131,0.0,,,
30000,4,8.0,2.0,0.0,1,0.5444302790256343,0.0,,,,238.92857142857142,0.0,,,,318.1304347826087,0.0,,,,28.0,0.0,,,,23.0,0.0,,,,1653.3687225247904,0.0,,,
30000,4,10.0,0.0,0.0,1,0.699696194803176,0.0,,,,238.89285714285714,0.0,,,,317.4347826086956,0.0,,,,28.0,0.0,,,,23.0,0.0,,,,1616.3769733813074,0.0,,,
30000,5,4.0,4.0,2.0,1,1.2422129594693787,0.0,,,,224.16,0.0,,,,486.35,0.0,,,,25.0,0.0,,,,20.0,0.0,,,,1675.8948455899406,0.0,,,
30000,5,6.0,2.0,2.0,1,1.1740362661522916,0.0,,,,268.7916666666667,0.0,,,,525.9,0.0,,,,24.0,0.0,,,,20.0,0.0,,,,1640.9044437800062,0.0,,,
30000,5,6.0,4.0,0.0,1,1.3002234744640497,0.0,,,,224.72,0.0,,,,486.45,0.0,,,,25.0,0.0,,,,20.0,0.0,,,,1672.3708560424927,0.0,,,
30000,5,8.0,2.0,0.0,1,1.1149858138524766,0.0,,,,225.24,0.0,,,,485.75,0.0,,,,25.0,0.0,,,,20.0,0.0,,,,1699.265285710708,0.0,,,
30000,5,10.0,0.0,0.0,1,1.0939831278523617,0.0,,,,223.92,0.0,,,,484.85,0.0,,,,25.0,0.0,,,,20.0,0.0,,,,1700.4189242999157,0.0,,,
30000,6,4.0,4.0,2.0,1,1.587652161494799,0.0,,,,238.04545454545453,0.0,,,,244.53333333333333,0.0,,,,22.0,0.0,,,,15.0,0.0,,,,1129.80279043597,0.0,,,
30000,6,6.0,2.0,2.0,1,1.7009682207253158,0.0,,,,236.13636363636363,0.0,,,,242.2,0.0,,,,22.0,0.0,,,,15.0,0.0,,,,1114.5660954819282,0.0,,,
30000,6,6.0,4.0,0.0,1,1.4624706160133356,0.0,,,,237.04545454545453,0.0,,,,238.46666666666667,0.0,,,,22.0,0.0,,,,15.0,0.0,,,,1157.0667636465469,0.0,,,
30000,6,8.0,2.0,0.0,1,1.3001821411868808,0.0,,,,240.33333333333334,0.0,,,,286.125,0.0,,,,21.0,0.0,,,,16.0,0.0,,,,1152.395835123545,0.0,,,
30000,6,10.0,0.0,0.0,1,0.5694090595975727,0.0,,,,276.6842105263158,0.0,,,,296.05882352941177,0.0,,,,19.0,0.0,,,,17.0,0.0,,,,1268.724343397085,0.0,,,
40000,3,4.0,4.0,2.0,1,1.1336953927615978,0.0,,,,167.95,0.0,,,,261.725,0.0,,,,40.0,0.0,,,,40.0,0.0,,,,3791.4737095939645,0.0,,,
40000,3,6.0,2.0,2.0,1,1.3347571750586986,0.0,,,,168.1,0.0,,,,266.95,0.0,,,,40.0,0.0,,,,40.0,0.0,,,,3628.550990270113,0.0,,,
40000,3,6.0,4.0,0.0,1,0.9589364683957268,0.0,,,,170.225,0.0,,,,264.55,0.0,,,,40.0,0.0,,,,40.0,0.0,,,,3787.14331258092,0.0,,,
40000,3,8.0,2.0,0.0,1,0.8950561112532811,0.0,,,,170.05,0.0,,,,264.025,0.0,,,,40.0,0.0,,,,40.0,0.0,,,,3813.077404976718,0.0,,,
40000,3,10.0,0.0,0.0,1,0.711551586769575,0.0,,,,173.075,0.0,,,,266.15,0.0,,,,40.0,0.0,,,,40.0,0.0,,,,3795.2276222146857,0.0,,,
40000,4,4.0,4.0,2.0,1,1.2174031703954173,0.0,,,,227.6216216216216,0.0,,,,436.96774193548384,0.0,,,,37.0,0.0,,,,31.0,0.0,,,,2463.962739134738,0.0,,,
