area,auv_count,method,a,b,regular_latency,priority_latency,transmitted_data,transmitted_regular_objects,transmitted_priority_objects,travelled_distance,std_reg_latency,std_prior_latency,transmitted_data_normalized,travelled_distance_normalized,priority_latency_normalized,regular_latency_normalized,std_reg_latency_normalized,std_prior_latency_normalized,percent_regular_objects,percent_priority_objects,utility
10000,3,artm,0.0,10.0,130.4,140.77777777777777,570.0,10.0,9.0,548.0461706788743,93.65703390562825,102.39333504544324,1.0,0.5162907870893652,1.0,0.3924050632911393,0.4150656462602171,1.0,1.0,1.0,0.5549778270745251
10000,3,artm,2.5,7.5,93.2,103.33333333333333,570.0,10.0,9.0,500.80760666130874,66.49030004444258,79.24224462578867,1.0,0.0,0.32868525896414336,0.0,0.04691119591670409,0.42767158248245085,1.0,1.0,0.04479350165839291
10000,3,artm,5.0,5.0,188.0,110.44444444444444,570.0,10.0,9.0,576.9897365236969,136.82032012826164,73.0496195307015,1.0,0.8326275916044155,0.4561752988047809,1.0,1.0,0.27458093937642375,1.0,1.0,0.10486898851119375
10000,3,artm,7.5,2.5,111.5,85.77777777777777,570.0,10.0,9.0,592.3036495868026,65.74838401055953,63.33820644020265,1.0,1.0,0.01394422310756961,0.19303797468354428,0.036856999079833024,0.03450077100449466,1.0,1.0,-0.633248585291742
10000,3,artm,10.0,0.0,112.3,85.0,570.0,10.0,9.0,554.2174124572196,63.02864428178667,61.94262578296862,1.0,0.5837389693388482,0.0,0.2014767932489451,0.0,0.0,1.0,1.0,-0.4932002290857503
10000,4,artm,0.0,10.0,262.6666666666667,153.75,420.0,6.0,8.0,634.1170701298328,102.88288919392228,175.10264846654948,0.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,0.3749999999999998
10000,4,artm,2.5,7.5,231.375,85.0,450.0,8.0,7.0,503.02278666177864,119.37015696982223,105.57867750098569,1.0,0.0,0.043715846994535464,0.1580717488789237,0.746026514667509,0.019621180455209473,1.0,0.875,-0.11447395161136192
10000,4,artm,5.0,5.0,243.5,89.0,450.0,8.0,7.0,552.0706001283331,124.65652810823828,117.83038657324349,1.0,0.3741415122689676,0.0993541977148534,0.48430493273542574,0.9852276418182546,0.19238628450278572,1.0,0.875,-0.05411847733830999
10000,4,artm,7.5,2.5,225.5,81.85714285714286,450.0,8.0,7.0,528.6173659002761,116.57293854064072,104.18723334380626,1.0,0.19523795059099228,0.0,0.0,0.6194561730044496,0.0,1.0,0.875,-0.279203945635507
10000,4,artm,10.0,0.0,245.0,89.57142857142857,450.0,8.0,7.0,553.6042282881325,124.98299884384275,117.50727289692954,1.0,0.3858401776815834,0.10730253353204165,0.5246636771300446,1.0,0.18782995953797105,1.0,0.875,-0.045620085065415206
10000,5,artm,0.0,10.0,118.33333333333333,99.0,360.0,6.0,6.0,388.58773753733396,72.11487749109442,79.68897874444956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,-0.36666666666666675
10000,5,artm,2.5,7.5,196.5,104.375,420.0,6.0,8.0,444.2261203714182,97.13178333240533,97.48325176664964,0.6666666666666666,1.0,0.48314606741573035,0.9019230769230769,0.8912871977606103,0.870657660700135,1.0,0.8888888888888888,0.22625593070243438
10000,5,artm,5.0,5.0,197.66666666666666,109.77777777777777,450.0,6.0,9.0,436.24889680959774,90.52378447433335,93.62309517751099,1.0,0.8566237342733555,0.9687890137328334,0.9153846153846152,0.6558614092008344,0.6817836953719277,1.0,1.0,0.42870769622293536
10000,5,artm,7.5,2.5,205.0,110.125,420.0,6.0,8.0,395.2368867524176,100.18316558517537,100.12671658952969,0.6666666666666666,0.11950651468270847,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.9299751719046944
