area,auv_count,method,w1,w2,w3,regular_latency,priority_latency,transmitted_data,transmitted_regular_objects,transmitted_priority_objects,travelled_distance,std_reg_latency,std_prior_latency,transmitted_data_normalized,travelled_distance_normalized,priority_latency_normalized,regular_latency_normalized,std_reg_latency_normalized,std_prior_latency_normalized,percent_regular_objects,percent_priority_objects,utility
10000,3,owa,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.6573588495773084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6000000000000001
10000,3,owa,6.0,2.0,2.0,109.6,83.11111111111111,570.0,10.0,9.0,558.3828873811588,64.06278170669769,62.22261904635367,1.0,0.9243866609406689,0.9614395886889461,0.9639401934916446,0.975722571447862,0.9790212382455643,1.0,1.0,0.5905061782543324
10000,3,owa,6.0,4.0,0.0,111.1,84.55555555555556,570.0,10.0,9.0,554.9722236840497,62.76694990199858,61.54151464411124,1.0,0.9187031798957134,0.9781491002570695,0.9771328056288477,0.9559861143824525,0.9683046260958711,1.0,1.0,0.5955389126108577
10000,3,owa,8.0,2.0,0.0,98.4,68.75,540.0,10.0,8.0,603.7585415809301,50.71331186187706,55.68830667204741,0.9473684210526315,1.0,0.7953084832904884,0.8654353562005277,0.7724004755687146,0.8762092594214181,1.0,0.8888888888888888,0.3534828895454377
10000,3,owa,10.0,0.0,0.0,113.7,86.44444444444444,570.0,10.0,9.0,580.665228897148,65.65675898184436,63.55594405475665,1.0,0.9615176351116771,1.0,1.0,1.0,1.0,1.0,1.0,0.615392945955329
10000,4,owa,4.0,4.0,2.0,285.14285714285717,164.55555555555554,480.0,7.0,9.0,480.4413949385899,164.97569394258275,166.7460551664724,1.0,0.07927297110516132,0.7260825780463241,0.9871520342612423,1.0,0.992604663008419,0.875,1.0,0.8133043726367136
10000,4,owa,6.0,2.0,2.0,220.71428571428572,173.44444444444446,480.0,7.0,9.0,504.8479473825167,108.19521284064582,151.2886212296888,1.0,0.41363487761874,0.8872104733131927,0.26284796573875807,0.32913344783338533,0.0,0.875,1.0,0.084047568323529
10000,4,owa,6.0,4.0,0.0,286.2857142857143,166.66666666666666,480.0,7.0,9.0,474.6549106263124,162.74231540840813,166.86121978059091,1.0,0.0,0.7643504531722054,1.0,0.9736124293449577,1.0,0.875,1.0,0.8643977124550942
10000,4,owa,8.0,2.0,0.0,197.33333333333334,179.66666666666666,450.0,6.0,9.0,547.6493276590901,80.33817412800855,157.23937872626632,0.0,1.0,1.0,0.0,0.0,0.38213002647736005,0.75,1.0,-0.07214798940905609
10000,4,owa,10.0,0.0,0.0,197.625,124.5,480.0,8.0,8.0,510.9226345624858,117.97980494559228,160.63623501564024,1.0,0.4968561351738397,0.0,0.0032789079229121,0.444739294110341,0.6002603711510905,1.0,0.8888888888888888,-0.19125688742467123
10000,5,owa,4.0,4.0,2.0,185.33333333333334,75.375,420.0,6.0,8.0,352.3000565009351,103.14983707640496,50.51469464423199,0.0,0.0,0.0,0.0,0.34852384919852275,0.0,0.8571428571428571,0.8888888888888888,-0.26680316666823195
10000,5,owa,6.0,2.0,2.0,203.66666666666666,106.5,420.0,6.0,8.0,421.6268078505537,92.1369753259907,98.24586505293748,0.0,0.7543350930227848,0.9764705882352941,0.3057982525814136,0.0,0.857001994035079,0.8571428571428571,0.8888888888888888,0.253953768530911
10000,5,owa,6.0,4.0,0.0,245.28571428571428,83.22222222222223,480.0,7.0,9.0,391.82916991184004,123.73556398997972,76.68518294918918,1.0,0.4301109869053057,0.24618736383442286,1.0,1.0,0.46988499276626694,1.0,1.0,0.23900328426159584
10000,5,owa,8.0,2.0,0.0,199.66666666666666,107.25,420.0,6.0,8.0,440.6325103913633,95.09761067216967,100.86469897838391,0.0,0.9611335959813962,1.0,0.23907863383637784,0.09369517663151254,0.9040225442737754,0.8571428571428571,0.8888888888888888,0.20720240490259323
10000,5,owa,10.0,0.0,0.0,194.5,105.875,420.0,6.0,8.0,444.2045058509066,95.74227558050484,106.21021313885026,0.0,1.0,0.9568627450980393,0.1528991262907068,0.11409687606152089,1.0,0.8571428571428571,0.8888888888888888,0.1953226365115287
10000,6,owa,4.0,4.0,2.0,90.16666666666667,143.57142857142858,390.0,6.0,7.0,470.72424500484505,56.01016772773394,57.621566257428164,0.0,0.7475189109904008,0.9610389610389621,0.21899661781285235,0.24444858028986632,1.0,0.8571428571428571,0.875,0.33491524145815027
10000,6,owa,6.0,2.0,2.0,71.66666666666667,144.0,420.0,6.0,8.0,444.08356157970746,32.29895079135269,48.249352327259274,1.0,0.35988580728726804,1.0,0.0,0.009459893923576811,0.4042399830525004,0.8571428571428571,1.0,0.20534793480509406
10000,6,owa,6.0,4.0,0.0,73.16666666666667,135.28571428571428,390.0,6.0,7.0,449.5632092188532,32.6262505081755,41.89004070425429,0.0,0.43961697587873755,0.20779220779220706,0.017756482525366407,0.012703579421061437,0.0,0.8571428571428571,0.875,-0.4051443883518203
10000,6,owa,8.0,2.0,0.0,156.14285714285714,133.0,390.0,7.0,6.0,419.34985393310046,132.2480662255905,45.64354645876384,0.0,0.0,0.0,1.0,1.0,0.23859769618797555,1.0,0.75,0.14543907847519028
10000,6,owa,10.0,0.0,0.0,78.83333333333333,140.71428571428572,390.0,6.0,7.0,488.07639759161174,31.344412934719678,41.99562659445891,0.0,1.0,0.7012987012987021,0.08483652762119494,0.0,0.006711738785137738,0.8571428571428571,0.875,-0.3689843625980692
30000,3,owa,4.0,4.0,2.0,188.82758620689654,125.78571428571429,1710.0,29.0,28.0,2664.9430401970435,144.52253587912242,106.94770322213468,1.0,0.7965659734267276,0.0103750997605748,0.0,0.11192559474192999,0.0,1.0,1.0,-0.5910537205420178
30000,3,owa,6.0,2.0,2.0,203.68965517241378,170.07142857142858,1710.0,29.0,28.0,2556.730725562782,137.07287350750778,130.29168611000378,1.0,0.0,1.0,0.15775988286969247,0.0,0.7855660008923944,1.0,1.0,0.5457783769308961
30000,3,owa,6.0,4.0,0.0,188.82758620689654,125.32142857142857,1710.0,29.0,28.0,2665.0122015057664,144.678733028477,106.99133929283002,1.0,0.7970750794872763,0.0,0.0,0.1142723398649198,0.0014684303752043615,1.0,1.0,-0.5953881916718448
30000,3,owa,8.0,2.0,0.0,283.0344827586207,166.67857142857142,1710.0,29.0,28.0,2692.5792531728,203.63193346865012,136.6638351083805,1.0,1.0,0.924181963288108,1.0,1.0,1.0,1.0,1.0,0.562090981644054
30000,3,owa,10.0,0.0,0.0,206.3793103448276,133.75,1710.0,29.0,28.0,2646.8018603465025,142.0828834829682,108.14164818157975,1.0,0.6630262128588462,0.1883479648842777,0.1863103953147878,0.07527164563900564,0.04017834366920737,1.0,1.0,-0.402648757042958
30000,4,owa,4.0,4.0,2.0,509.0,427.04,1320.0,19.0,25.0,1589.1904173973721,325.27542984854836,394.5514394853984,0.6666666666666666,0.3820000301983524,1.0,0.08392474935225885,0.00760024455309966,1.0,0.95,1.0,0.4605049867017307
30000,4,owa,6.0,2.0,2.0,579.5,386.04545454545456,1260.0,20.0,22.0,1605.323271633439,366.8121453823469,334.3992547393728,0.0,0.5511502759757558,0.05987063229914191,0.8384026134955501,0.5102515003619648,0.0,1.0,0.88,-0.24479397146922843
30000,4,owa,6.0,4.0,0.0,539.95,411.84,1350.0,20.0,25.0,1552.7568267925253,407.2826383483588,383.28273428371386,1.0,0.0,0.6514178598492395,0.4151458826180021,1.0,0.8126634094960433,1.0,1.0,0.6338034702466375
30000,4,owa,8.0,2.0,0.0,594.6,383.4347826086956,1290.0,20.0,23.0,1648.1327108884736,382.95122404818085,355.70051228856005,0.3333333333333333,1.0,0.0,1.0,0.705556498716456,0.35412275778719193,1.0,0.92,-0.23323959714183207
30000,4,owa,10.0,0.0,0.0,501.1578947368421,426.88,1320.0,19.0,25.0,1633.2638771114364,324.6473816892308,392.5030771853897,0.6666666666666666,0.8441027947685478,0.996330714314202,0.0,0.0,0.965947000783807,0.95,1.0,0.24190303956320458
30000,5,owa,4.0,4.0,2.0,404.0,288.42105263157896,930.0,12.0,19.0,1507.804319894461,236.39268178181828,162.4455587474976,0.0,1.0,0.0742501614133943,0.018957345971563875,0.01790805077976972,0.06291905218526525,0.6666666666666666,0.8260869565217391,-0.6984501610979156
30000,5,owa,6.0,2.0,2.0,400.6666666666667,279.7368421052632,930.0,12.0,19.0,1480.966423184413,233.75069815700846,156.83106637239123,0.0,0.8711547635194079,0.0,0.0,0.0,0.0,0.6666666666666666,0.8260869565217391,-0.7165778474367487
30000,5,owa,6.0,4.0,0.0,571.1111111111111,348.69565217391306,1230.0,18.0,23.0,1328.8948232257924,357.5215438557342,244.6474721579406,1.0,0.14107887604068856,0.5895991078241475,0.9693522906793047,0.8389509189283377,0.9841183582048625,1.0,1.0,0.6936759886992718
30000,5,owa,8.0,2.0,0.0,573.0588235294117,396.69565217391306,1200.0,17.0,23.0,1432.083129770595,381.2811947644007,245.40922961676972,0.9,0.6364724570816056,1.0,0.9804293281293557,1.0,0.9926550261887915,0.9444444444444444,1.0,0.73300333771319
30000,5,owa,10.0,0.0,0.0,576.5,354.4347826086956,1230.0,18.0,23.0,1299.5087131407681,361.349054086058,246.06464793643798,1.0,0.0,0.6386687797147381,1.0,0.8648947767634372,1.0,1.0,1.0,0.7923133452100564
30000,6,owa,4.0,4.0,2.0,377.6923076923077,189.7058823529412,900.0,13.0,17.0,1193.2661259996696,281.87132487534495,143.30664969829857,0.6666666666666666,0.44575540474456155,0.0,0.5002105150003132,0.8188433147483755,0.0,0.9285714285714286,1.0,-0.22163425309094403
30000,6,owa,6.0,2.0,2.0,321.90909090909093,264.2352941176471,840.0,11.0,17.0,1301.9654268433185,196.32369122328868,257.817429569103,0.0,1.0,0.6457696228338431,0.0,0.0,0.8003651862301832,0.7857142857142857,1.0,-0.07839768551957671
30000,6,owa,6.0,4.0,0.0,344.9166666666667,241.11764705882354,870.0,12.0,17.0,1170.6831894781924,272.64581980209334,218.96948010623098,0.3333333333333333,0.3306077412832402,0.44546381243628946,0.20630992585691546,0.7305387897496559,0.5288401268288573,0.8571428571428571,1.0,0.17510888927199153
30000,6,owa,8.0,2.0,0.0,433.42857142857144,242.41176470588235,930.0,14.0,17.0,1155.7912239223247,300.79744354102536,206.2089342571608,1.0,0.2546754090786206,0.456676860346585,1.0,1.0,0.4396511730341782,1.0,1.0,0.40232873575551564
30000,6,owa,10.0,0.0,0.0,323.5,305.11764705882354,870.0,12.0,17.0,1105.8438917410197,247.05852882802216,286.3798140998689,0.3333333333333333,0.0,1.0,0.014265750553161526,0.48562281414410485,1.0,0.8571428571428571,1.0,0.685691998653739
40000,3,owa,4.0,4.0,2.0,405.0,235.69444444444446,2130.0,35.0,36.0,3054.125126706264,295.3954250540403,200.62303227757002,0.0,0.0,0.4236600648987357,0.3092874476064418,0.21901368153765086,0.8332034634357635,0.875,0.9,0.3182716436524918
40000,3,owa,6.0,2.0,2.0,369.95,193.625,2400.0,40.0,40.0,3733.6125245510434,275.9245322547453,167.81979732737136,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.7
40000,3,owa,6.0,4.0,0.0,420.975,226.025,2400.0,40.0,40.0,3196.6374067126044,339.3410148729446,179.7115031794014,1.0,0.20973498619454253,0.32628398791540786,0.45025369512464186,0.7133251398150156,0.3020497983541335,1.0,1.0,0.13278368580947186
40000,3,owa,8.0,2.0,0.0,421.7,234.225,2400.0,40.0,40.0,3503.0898554357022,364.82716455878113,182.07450226486958,1.0,0.6607403318346734,0.40886203423967765,0.456651224354732,1.0,0.3620700684615395,1.0,1.0,0.07629315664153169
40000,3,owa,10.0,0.0,0.0,483.275,292.925,2400.0,40.0,40.0,3505.8067313053866,356.6967190415409,207.18981484378037,1.0,0.664738751640989,1.0,1.0,0.9085466278497231,1.0,1.0,1.0,0.7158138249135488
40000,4,owa,4.0,4.0,2.0,555.0434782608696,489.2903225806452,1620.0,23.0,31.0,2407.607272499602,398.2400934394782,483.30563318425936,0.75,0.8977086247990412,0.0,1.0,0.9669653052257764,0.18625879269913864,1.0,0.9393939393939394,-0.20330808391601785
40000,4,owa,6.0,2.0,2.0,437.36842105263156,598.0666666666667,1470.0,19.0,30.0,2328.7577762160217,289.8540849836646,659.9792892373383,0.125,0.5926903047772499,0.9633337273754171,0.0,0.0,0.9190026157052931,0.8260869565217391,0.9090909090909091,0.2766186655292815
40000,4,owa,6.0,4.0,0.0,442.2105263157895,602.2068965517242,1440.0,19.0,29.0,2317.1124771309387,297.0822283737492,679.5087667501933,0.0,0.54764208341248,1.0,0.041148102053516045,0.06448584996335786,1.0,0.8260869565217391,0.8787878787878788,0.3604362284481324
40000,4,owa,8.0,2.0,0.0,547.2608695652174,511.0,1680.0,23.0,33.0,2434.05035109296,401.94291368316647,438.3963199358924,1.0,1.0,0.1922629836866575,0.9338635656502795,1.0,0.0,1.0,1.0,-0.21709579502661536
40000,4,owa,10.0,0.0,0.0,449.6818181818182,567.3636363636364,1650.0,22.0,33.0,2175.542939872719,336.87620957632555,467.84087026445985,0.875,0.0,0.6914247487086164,0.10463897295921266,0.41950768099042424,0.12211957830300213,0.9565217391304348,1.0,0.19504171037847984
40000,5,owa,4.0,4.0,2.0,581.0434782608696,469.6,1590.0,23.0,30.0,1882.1367680538563,431.23931399598507,456.9564238889014,0.75,0.5523401587261182,1.0,0.4075725938897373,0.35880537924715394,0.8313045156520938,0.92,0.967741935483871,0.45040972449454275
