index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,15000,6,owa,0.4,0.4,0.2,,,0,15000_r0.pickle,results_0.bag,params_0.yaml,2026-08-09T13:06:43,999.4,completed,
1,15000,6,owa,0.4,0.4,0.2,,,1,15000_r1.pickle,results_1.bag,params_1.yaml,2026-08-09T13:23:35,497.4,completed,
2,15000,6,owa,0.4,0.4,0.2,,,2,15000_r2.pickle,results_2.bag,params_2.yaml,2026-08-09T13:32:04,718.0,completed,
3,15000,6,owa,0.4,0.4,0.2,,,3,15000_r3.pickle,results_3.bag,params_3.yaml,2026-08-09T13:44:14,770.7,completed,
6,15000,6,owa,0.4,0.4,0.2,,,6,15000_r6.pickle,results_6.bag,params_6.yaml,2026-08-09T14:27:50,885.5,completed,
9,15000,6,owa,0.6,0.2,0.2,,,1,15000_r1.pickle,results_9.bag,params_9.yaml,2026-08-10T06:12:24,898.2,completed,
10,15000,6,owa,0.6,0.2,0.2,,,2,15000_r2.pickle,results_10.bag,params_10.yaml,2026-08-10T06:27:34,902.2,completed,
11,15000,6,owa,0.6,0.2,0.2,,,3,15000_r3.pickle,results_11.bag,params_11.yaml,2026-08-10T06:42:47,900.1,completed,
12,15000,6,owa,0.6,0.2,0.2,,,4,15000_r4.pickle,results_12.bag,params_12.yaml,2026-08-10T06:57:58,899.5,completed,
13,15000,6,owa,0.6,0.2,0.2,,,5,15000_r5.pickle,results_13.bag,params_13.yaml,2026-08-10T07:13:09,900.7,completed,
14,15000,6,owa,0.6,0.2,0.2,,,6,15000_r6.pickle,results_14.bag,params_14.yaml,2026-08-10T07:28:21,899.6,completed,
15,15000,6,owa,0.6,0.2,0.2,,,7,15000_r7.pickle,results_15.bag,params_15.yaml,2026-08-10T07:43:31,898.2,completed,
16,15000,6,owa,0.6,0.4,0.0,,,0,15000_r0.pickle,results_16.bag,params_16.yaml,2026-08-10T07:58:40,900.4,completed,
17,15000,6,owa,0.6,0.4,0.0,,,1,15000_r1.pickle,results_17.bag,params_17.yaml,2026-08-10T08:13:52,899.7,completed,
18,15000,6,owa,0.6,0.4,0.0,,,2,15000_r2.pickle,results_18.bag,params_18.yaml,2026-08-10T08:29:03,902.1,completed,
19,15000,6,owa,0.6,0.4,0.0,,,3,15000_r3.pickle,results_19.bag,params_19.yaml,2026-08-10T08:44:17,907.8,completed,
20,15000,6,owa,0.6,0.4,0.0,,,4,15000_r4.pickle,results_20.bag,params_20.yaml,2026-08-10T08:59:36,901.4,completed,
22,15000,6,owa,0.6,0.4,0.0,,,6,15000_r6.pickle,results_22.bag,params_22.yaml,2026-08-10T09:27:00,901.0,completed,
23,15000,6,owa,0.6,0.4,0.0,,,7,15000_r7.pickle,results_23.bag,params_23.yaml,2026-08-10T09:42:12,901.1,completed,
24,15000,6,owa,0.8,0.2,0.0,,,0,15000_r0.pickle,results_24.bag,params_24.yaml,2026-08-10T09:57:25,901.3,completed,
25,15000,6,owa,0.8,0.2,0.0,,,1,15000_r1.pickle,results_25.bag,params_25.yaml,2026-08-10T10:12:39,901.5,completed,
26,15000,6,owa,0.8,0.2,0.0,,,2,15000_r2.pickle,results_26.bag,params_26.yaml,2026-08-10T10:27:53,903.7,completed,
27,15000,6,owa,0.8,0.2,0.0,,,3,15000_r3.pickle,results_27.bag,params_27.yaml,2026-08-10T10:43:08,901.3,completed,
28,15000,6,owa,0.8,0.2,0.0,,,4,15000_r4.pickle,results_28.bag,params_28.yaml,2026-08-10T10:58:20,909.9,completed,
29,15000,6,owa,0.8,0.2,0.0,,,5,15000_r5.pickle,results_29.bag,params_29.yaml,2026-08-10T11:13:41,896.0,completed,
30,15000,6,owa,0.8,0.2,0.0,,,6,15000_r6.pickle,results_30.bag,params_30.yaml,2026-08-10T11:28:48,898.2,completed,
31,15000,6,owa,0.8,0.2,0.0,,,7,15000_r7.pickle,results_31.bag,params_31.yaml,2026-08-10T11:43:56,896.4,completed,
32,15000,6,owa,1.0,0.0,0.0,,,0,15000_r0.pickle,results_32.bag,params_32.yaml,2026-08-10T11:59:04,900.5,completed,
33,15000,6,owa,1.0,0.0,0.0,,,1,15000_r1.pickle,results_33.bag,params_33.yaml,2026-08-10T12:14:15,896.2,completed,
34,15000,6,owa,1.0,0.0,0.0,,,2,15000_r2.pickle,results_34.bag,params_34.yaml,2026-08-10T12:29:24,893.7,completed,
35,15000,6,owa,1.0,0.0,0.0,,,3,15000_r3.pickle,results_35.bag,params_35.yaml,2026-08-10T14:24:51,932.7,completed,
36,15000,6,owa,1.0,0.0,0.0,,,4,15000_r4.pickle,results_36.bag,params_36.yaml,2026-08-10T14:40:34,899.4,completed,
37,15000,6,owa,1.0,0.0,0.0,,,5,15000_r5.pickle,results_37.bag,params_37.yaml,2026-08-10T14:55:45,900.1,completed,
38,15000,6,owa,1.0,0.0,0.0,,,6,15000_r6.pickle,results_38.bag,params_38.yaml,2026-08-10T15:10:56,898.2,completed,
39,15000,6,owa,1.0,0.0,0.0,,,7,15000_r7.pickle,results_39.bag,params_39.yaml,2026-08-10T15:26:05,899.5,completed,
4,15000,6,owa,0.4,0.4,0.2,,,4,15000_r4.pickle,results_4.bag,params_4.yaml,2026-08-10T19:31:56,875.1,completed,
5,15000,6,owa,0.4,0.4,0.2,,,5,15000_r5.pickle,results_5.bag,params_5.yaml,2026-08-10T19:46:42,856.4,completed,
7,15000,6,owa,0.4,0.4,0.2,,,7,15000_r7.pickle,results_7.bag,params_7.yaml,2026-08-10T20:01:10,815.0,completed,
8,15000,6,owa,0.6,0.2,0.2,,,0,15000_r0.pickle,results_8.bag,params_8.yaml,2026-08-10T20:14:56,893.5,completed,
21,15000,6,owa,0.6,0.4,0,,,5,15000_r5.pickle,results_21.bag,params_21.yaml,2026-08-10T20:30:00,895.5,completed,
