index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,55000,6,owa,0.4,0.4,0.2,,,,55000.pickle,results_0.bag,params_0.yaml,2026-08-05T13:01:09,2535.3,completed,
3,55000,6,owa,0.8,0.2,0.0,,,,55000.pickle,results_3.bag,params_3.yaml,2026-08-05T15:08:26,2521.8,completed,
4,55000,6,owa,1.0,0.0,0.0,,,,55000.pickle,results_4.bag,params_4.yaml,2026-08-05T15:50:40,2521.2,completed,
1,55000,6,owa,0.6,0.2,0.2,,,,55000.pickle,results_1.bag,params_1.yaml,2026-08-06T16:01:54,2584.1,completed,
2,55000,6,owa,0.6,0.4,0,,,,55000.pickle,results_2.bag,params_2.yaml,2026-08-06T16:45:16,3648.7,completed,
