index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,35000,4,owa,0.4,0.4,0.2,,,,35000.pickle,results_0.bag,params_0.yaml,2026-08-05T17:42:12,2524.1,completed,
1,35000,4,owa,0.6,0.2,0.2,,,,35000.pickle,results_1.bag,params_1.yaml,2026-08-05T18:24:25,2523.6,completed,
2,35000,4,owa,0.6,0.4,0,,,,35000.pickle,results_2.bag,params_2.yaml,2026-08-05T19:06:38,2526.6,completed,
3,35000,4,owa,0.8,0.2,0,,,,35000.pickle,results_3.bag,params_3.yaml,2026-08-05T19:48:54,2526.2,completed,
4,35000,4,owa,1,0,0,,,,35000.pickle,results_4.bag,params_4.yaml,2026-08-05T20:31:10,2524.4,completed,
