index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,55000,4,owa,0.4,0.4,0.2,,,,55000.pickle,results_0.bag,params_0.yaml,2026-08-04T21:06:27,3434.5,completed,
1,55000,4,owa,0.6,0.2,0.2,,,,55000.pickle,results_1.bag,params_1.yaml,2026-08-04T22:03:49,3482.3,completed,
2,55000,4,owa,0.6,0.4,0,,,,55000.pickle,results_2.bag,params_2.yaml,2026-08-04T23:02:00,3483.8,completed,
3,55000,4,owa,0.8,0.2,0,,,,55000.pickle,results_3.bag,params_3.yaml,2026-08-05T00:00:13,3481.9,completed,
4,55000,4,owa,1,0,0,,,,55000.pickle,results_4.bag,params_4.yaml,2026-08-05T00:58:24,3485.6,completed,
