index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,55000,6,owa,0.4,0.4,0.2,,,0,55000_r0.pickle,results_0.bag,params_0.yaml,2026-08-07T16:13:43,2534.1,completed,
1,55000,6,owa,0.4,0.4,0.2,,,1,55000_r1.pickle,results_1.bag,params_1.yaml,2026-08-07T16:56:08,2516.3,completed,
2,55000,6,owa,0.4,0.4,0.2,,,2,55000_r2.pickle,results_2.bag,params_2.yaml,2026-08-07T17:38:16,2523.1,completed,
3,55000,6,owa,0.4,0.4,0.2,,,3,55000_r3.pickle,results_3.bag,params_3.yaml,2026-08-07T18:20:30,2520.4,completed,
4,55000,6,owa,0.4,0.4,0.2,,,4,55000_r4.pickle,results_4.bag,params_4.yaml,2026-08-07T19:02:42,2522.2,completed,
5,55000,6,owa,0.4,0.4,0.2,,,5,55000_r5.pickle,results_5.bag,params_5.yaml,2026-08-07T19:44:55,2520.0,completed,
6,55000,6,owa,0.4,0.4,0.2,,,6,55000_r6.pickle,results_6.bag,params_6.yaml,2026-08-07T20:27:06,2517.1,completed,
7,55000,6,owa,0.4,0.4,0.2,,,7,55000_r7.pickle,results_7.bag,params_7.yaml,2026-08-07T21:09:15,2524.3,completed,
8,55000,6,owa,0.6,0.2,0.2,,,0,55000_r0.pickle,results_8.bag,params_8.yaml,2026-08-07T21:51:30,2519.3,completed,
9,55000,6,owa,0.6,0.2,0.2,,,1,55000_r1.pickle,results_9.bag,params_9.yaml,2026-08-07T22:33:41,2525.9,completed,
10,55000,6,owa,0.6,0.2,0.2,,,2,55000_r2.pickle,results_10.bag,params_10.yaml,2026-08-07T23:15:58,2520.4,completed,
11,55000,6,owa,0.6,0.2,0.2,,,3,55000_r3.pickle,results_11.bag,params_11.yaml,2026-08-07T23:58:10,2520.7,completed,
12,55000,6,owa,0.6,0.2,0.2,,,4,55000_r4.pickle,results_12.bag,params_12.yaml,2026-08-08T00:40:22,2522.9,completed,
13,55000,6,owa,0.6,0.2,0.2,,,5,55000_r5.pickle,results_13.bag,params_13.yaml,2026-08-08T01:22:36,2522.9,completed,
14,55000,6,owa,0.6,0.2,0.2,,,6,55000_r6.pickle,results_14.bag,params_14.yaml,2026-08-08T02:04:50,2519.2,completed,
15,55000,6,owa,0.6,0.2,0.2,,,7,55000_r7.pickle,results_15.bag,params_15.yaml,2026-08-08T02:47:01,2523.5,completed,
16,55000,6,owa,0.6,0.4,0.0,,,0,55000_r0.pickle,results_16.bag,params_16.yaml,2026-08-08T03:29:15,2520.8,completed,
17,55000,6,owa,0.6,0.4,0.0,,,1,55000_r1.pickle,results_17.bag,params_17.yaml,2026-08-08T04:11:27,2523.1,completed,
18,55000,6,owa,0.6,0.4,0.0,,,2,55000_r2.pickle,results_18.bag,params_18.yaml,2026-08-08T04:53:41,2519.4,completed,
19,55000,6,owa,0.6,0.4,0.0,,,3,55000_r3.pickle,results_19.bag,params_19.yaml,2026-08-08T05:35:52,2518.2,completed,
20,55000,6,owa,0.6,0.4,0.0,,,4,55000_r4.pickle,results_20.bag,params_20.yaml,2026-08-08T06:18:02,2518.7,completed,
21,55000,6,owa,0.6,0.4,0.0,,,5,55000_r5.pickle,results_21.bag,params_21.yaml,2026-08-08T07:00:11,2529.4,completed,
22,55000,6,owa,0.6,0.4,0.0,,,6,55000_r6.pickle,results_22.bag,params_22.yaml,2026-08-08T07:42:32,2520.9,completed,
23,55000,6,owa,0.6,0.4,0.0,,,7,55000_r7.pickle,results_23.bag,params_23.yaml,2026-08-08T08:24:44,2521.7,completed,
24,55000,6,owa,0.8,0.2,0.0,,,0,55000_r0.pickle,results_24.bag,params_24.yaml,2026-08-08T09:06:57,2522.4,completed,
25,55000,6,owa,0.8,0.2,0.0,,,1,55000_r1.pickle,results_25.bag,params_25.yaml,2026-08-08T09:49:11,2524.3,completed,
26,55000,6,owa,0.8,0.2,0.0,,,2,55000_r2.pickle,results_26.bag,params_26.yaml,2026-08-08T10:31:27,2518.2,completed,
27,55000,6,owa,0.8,0.2,0.0,,,3,55000_r3.pickle,results_27.bag,params_27.yaml,2026-08-08T11:13:37,2523.3,completed,
29,55000,6,owa,0.8,0.2,0.0,,,5,55000_r5.pickle,results_29.bag,params_29.yaml,2026-08-08T12:38:02,2519.2,completed,
30,55000,6,owa,0.8,0.2,0.0,,,6,55000_r6.pickle,results_30.bag,params_30.yaml,2026-08-08T13:20:12,2525.4,completed,
31,55000,6,owa,0.8,0.2,0.0,,,7,55000_r7.pickle,results_31.bag,params_31.yaml,2026-08-08T14:02:29,2527.3,completed,
32,55000,6,owa,1.0,0.0,0.0,,,0,55000_r0.pickle,results_32.bag,params_32.yaml,2026-08-08T14:44:47,2524.4,completed,
33,55000,6,owa,1.0,0.0,0.0,,,1,55000_r1.pickle,results_33.bag,params_33.yaml,2026-08-08T15:27:03,2534.4,completed,
34,55000,6,owa,1.0,0.0,0.0,,,2,55000_r2.pickle,results_34.bag,params_34.yaml,2026-08-08T16:09:29,2411.8,completed,
35,55000,6,owa,1.0,0.0,0.0,,,3,55000_r3.pickle,results_35.bag,params_35.yaml,2026-08-08T16:49:51,2535.1,completed,
36,55000,6,owa,1.0,0.0,0.0,,,4,55000_r4.pickle,results_36.bag,params_36.yaml,2026-08-08T17:32:17,2527.6,completed,
37,55000,6,owa,1.0,0.0,0.0,,,5,55000_r5.pickle,results_37.bag,params_37.yaml,2026-08-08T18:14:36,2588.2,completed,
38,55000,6,owa,1.0,0.0,0.0,,,6,55000_r6.pickle,results_38.bag,params_38.yaml,2026-08-08T18:57:55,2531.7,completed,
39,55000,6,owa,1.0,0.0,0.0,,,7,55000_r7.pickle,results_39.bag,params_39.yaml,2026-08-08T19:40:18,2488.1,completed,
28,55000,6,owa,0.8,0.2,0,,,4,55000_r4.pickle,results_28.bag,params_28.yaml,2026-08-09T07:07:13,2554.7,completed,
