index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,35000,3,roundrobin,,,,,,0,35000_r0.pickle,results_0.bag,params_0.yaml,2026-08-11T01:26:34,3149.0,completed,
1,35000,3,roundrobin,,,,,,1,35000_r1.pickle,results_1.bag,params_1.yaml,2026-08-11T02:19:09,3118.6,completed,
2,35000,3,roundrobin,,,,,,2,35000_r2.pickle,results_2.bag,params_2.yaml,2026-08-11T03:11:14,3106.3,completed,
3,35000,3,roundrobin,,,,,,3,35000_r3.pickle,results_3.bag,params_3.yaml,2026-08-11T04:03:25,3106.1,completed,
4,35000,3,roundrobin,,,,,,4,35000_r4.pickle,results_4.bag,params_4.yaml,2026-08-11T04:55:35,3108.1,completed,
5,35000,3,roundrobin,,,,,,5,35000_r5.pickle,results_5.bag,params_5.yaml,2026-08-11T05:47:43,3120.3,completed,
6,35000,3,roundrobin,,,,,,6,35000_r6.pickle,results_6.bag,params_6.yaml,2026-08-11T06:40:07,3162.4,completed,
7,35000,3,roundrobin,,,,,,7,35000_r7.pickle,results_7.bag,params_7.yaml,2026-08-11T07:33:11,3185.1,completed,
