index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,55000,6,roundrobin,,,,,,0,55000_r0.pickle,results_0.bag,params_0.yaml,2026-08-11T12:47:20,2517.1,completed,
1,55000,6,roundrobin,,,,,,1,55000_r1.pickle,results_1.bag,params_1.yaml,2026-08-11T13:29:28,2513.1,completed,
2,55000,6,roundrobin,,,,,,2,55000_r2.pickle,results_2.bag,params_2.yaml,2026-08-11T14:11:31,2515.2,completed,
3,55000,6,roundrobin,,,,,,3,55000_r3.pickle,results_3.bag,params_3.yaml,2026-08-11T14:53:37,2530.7,completed,
4,55000,6,roundrobin,,,,,,4,55000_r4.pickle,results_4.bag,params_4.yaml,2026-08-11T15:36:00,2534.1,completed,
5,55000,6,roundrobin,,,,,,5,55000_r5.pickle,results_5.bag,params_5.yaml,2026-08-11T16:18:36,2505.9,completed,
6,55000,6,roundrobin,,,,,,6,55000_r6.pickle,results_6.bag,params_6.yaml,2026-08-11T17:00:49,2506.9,completed,
7,55000,6,roundrobin,,,,,,7,55000_r7.pickle,results_7.bag,params_7.yaml,2026-08-11T17:43:05,2515.3,completed,
