area,auv_count,method,a,b,regular_latency,priority_latency,priority_std,regular_std,transmitted_data,priority_objects,regular_objects,travelled_distance,regular_latency_normalized,priority_latency_normalized,priority_std_normalized,regular_std_normalized,transmitted_data_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,priority,regular,distance,utility
10000,3,artm,0.0,10.0,130.4,140.77777777777777,108.60453233840863,98.72318201246689,570.0,9.0,10.0,548.0461706788743,0.3924050632911393,1.0,1.0,0.41506564626021697,,0.5162907870893652,1.0,1.0,0.1111111111111111,0.15304793278191933,0.6595041060162184,0.9236631499092489
10000,3,artm,2.5,7.5,93.2,103.33333333333333,84.04909279700763,70.0869301494778,570.0,9.0,10.0,500.80760666130874,0.0,0.32868525896414336,0.42767158248245074,0.04691119591670413,,0.0,1.0,1.0,0.3241712431814649,0.4561947844305691,1.0,1.7803660276120339
10000,3,artm,5.0,5.0,188.0,110.44444444444444,77.48082199988444,144.22128059956262,570.0,9.0,10.0,576.9897365236969,1.0,0.4561752988047809,0.2745809393764236,1.0,,0.8326275916044155,1.0,1.0,0.33383217251684033,0.05555555555555555,0.5456645990604819,0.9350523271328778
10000,3,artm,7.5,2.5,111.5,85.77777777777777,67.18031292309112,69.30488198292143,570.0,9.0,10.0,592.3036495868026,0.19303797468354428,0.01394422310756961,0.03450077100449469,0.03685699907983299,,1.0,1.0,1.0,0.9097220033588849,0.3305475564293398,0.5,1.7402695597882247
10000,3,artm,10.0,0.0,112.3,85.0,65.70007610345668,66.43802458766449,570.0,9.0,10.0,554.2174124572196,0.2014767932489451,0.0,0.0,0.0,,0.5837389693388482,1.0,1.0,1.0,0.34636917154659486,0.6314171838667724,1.9777863554133672
10000,4,artm,0.0,10.0,262.6666666666667,153.75,187.19260516529874,112.70255838563145,420.0,8.0,6.0,634.1170701298328,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.75,0.1111111111111111,0.09375,0.5,0.7048611111111112
10000,4,artm,2.5,7.5,231.375,85.0,114.03800536078604,127.61206559614293,450.0,7.0,8.0,503.02278666177864,0.1580717488789237,0.043715846994535464,0.020131009392436616,0.7130362208067544,1.0,0.0,0.875,1.0,0.7731251902078067,0.1428145011311502,1.0,1.915939691338957
10000,4,artm,5.0,5.0,243.5,89.0,127.27136362905836,133.2634340587952,450.0,7.0,8.0,552.0706001283331,0.48430493273542574,0.0993541977148534,0.19738517308591838,0.9833087626218924,1.0,0.3741415122689676,0.875,1.0,0.5203585075008489,0.08211370734049414,0.7277270871096899,1.330199301951033
10000,4,artm,7.5,2.5,225.5,81.85714285714286,112.53507389762028,124.62171331100944,450.0,7.0,8.0,528.6173659002761,0.0,0.0,0.0,0.5700248212905344,1.0,0.19523795059099228,0.875,1.0,0.875,0.2028415719241024,0.8366534877055605,1.9144950596296628
10000,4,artm,10.0,0.0,245.0,89.57142857142857,126.92236097034169,133.61244595577807,450.0,7.0,8.0,553.6042282881325,0.5246636771300446,0.10730253353204165,0.1927104583881426,1.0,1.0,0.3858401776815834,0.875,1.0,0.5177411308513876,0.07844457975385606,0.7215839287275768,1.3177696393328207
10000,5,artm,0.0,10.0,118.33333333333333,99.0,87.29490248576947,78.99789026718793,360.0,6.0,6.0,388.58773753733396,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,2.1666666666666665
10000,5,artm,2.5,7.5,196.5,104.375,104.21397973126528,106.40253756372543,420.0,8.0,6.0,444.2261203714182,0.9019230769230769,0.48314606741573035,0.8568764660930298,0.8912871977606105,0.6666666666666666,1.0,0.8888888888888888,1.0,0.16233321821559782,0.06408593759270065,0.5,0.7264191558082984
10000,5,artm,5.0,5.0,197.66666666666666,109.77777777777777,99.30228821353737,99.16383749465662,450.0,9.0,6.0,436.24889680959774,0.9153846153846152,0.9687890137328334,0.6081210044811829,0.6558614092008344,1.0,0.8566237342733555,1.0,1.0,0.15059185818478416,0.07562802130234378,0.5386120954612161,0.7648319749483441
10000,5,artm,7.5,2.5,205.0,110.125,107.0399624973242,109.74515934655159,420.0,8.0,6.0,395.2368867524176,1.0,1.0,1.0,1.0,0.6666666666666666,0.11950651468270847,0.8888888888888888,1.0,0.09876543209876543,0.05555555555555555,0.8932507197454057,1.0475717073997266
10000,5,artm,10.0,0.0,193.33333333333334,100.875,105.17935362309197,101.94835293748824,420.0,8.0,6.0,426.4967611020721,0.8653846153846155,0.16853932584269662,0.9057683859586445,0.7464227997309766,0.6666666666666666,0.6813466106264146,0.8888888888888888,1.0,0.20658610792779242,0.07329725377637392,0.5947613619225324,0.8746447236266988
10000,6,artm,0.0,10.0,164.0,102.66666666666667,73.17832101563049,77.85114000449833,360.0,6.0,6.0,363.7183805188275,1.0,0.0,0.7810979878225428,0.4414946084280429,0.0,0.15299904488639057,0.75,0.8571428571428571,0.23642077540247072,0.07189715004400628,0.8673034070887143,1.1756213325351914
10000,6,artm,2.5,7.5,126.6,113.57142857142857,70.9973171860673,65.27097364066205,360.0,7.0,5.0,419.99275325064434,0.592,0.35510757898817585,0.71198534517763,0.3309480589951136,0.0,0.6608879438652452,0.875,0.7142857142857143,0.20478024219806717,0.09658437224444495,0.6020875783304103,0.9034521927729224
10000,6,artm,5.0,5.0,113.57142857142857,118.85714285714286,80.08626301563535,82.27364329451068,420.0,7.0,7.0,346.7660011759051,0.44987012987012986,0.5272339600697811,1.0,0.4803567716480812,1.0,0.0,0.875,1.0,0.1369989237390529,0.13420023495282082,1.0,1.2711991586918736
