area,auv_count,method,w1,w2,w3,regular_latency,priority_latency,transmitted_data,priority_objects,regular_objects,priority_std,regular_std,travelled_distance,regular_latency_normalized,priority_latency_normalized,priority_std_normalized,regular_std_normalized,transmitted_data_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,priority,regular,distance,utility
10000,3,owa,4.0,4.0,2.0,119.85714285714286,96.57142857142857,420.0,7.0,7.0,58.20039273308827,85.17712637288756,454.4384209078148,1.0,1.0,0.0,1.0,0.0,0.0,0.7777777777777778,0.7,0.19444444444444445,0.03888888888888889,1.0,1.2333333333333334
10000,3,owa,6.0,2.0,2.0,109.6,83.11111111111111,570.0,9.0,10.0,65.99705380629587,67.52810114644454,558.3828873811588,0.5219707057256986,0.5161888460989874,0.8464634310943676,0.44361001608040934,1.0,0.6961182860338987,1.0,1.0,0.17914322229329224,0.12941607863619162,0.58958152166282,0.8981408225923038
10000,3,owa,6.0,4.0,0.0,111.1,84.55555555555556,570.0,9.0,10.0,65.27463349401341,66.16217449066598,554.9722236840497,0.5918774966711047,0.5681072600199687,0.7680321166528264,0.4005488327973061,1.0,0.6732769992620006,1.0,1.0,0.18323249725404758,0.12595211364289713,0.5976296814221735,0.9068142923191183
10000,3,owa,8.0,2.0,0.0,98.4,68.75,540.0,8.0,10.0,59.533304004685355,53.45652439132196,603.7585415809301,0.0,0.0,0.1447107470372892,0.0,0.8,1.0,0.8888888888888888,1.0,0.6783533236251491,0.5,0.5,1.678353323625149
10000,3,owa,10.0,0.0,0.0,113.7,86.44444444444444,570.0,9.0,10.0,67.4112585387469,69.20830072244867,580.665228897148,0.7130492676431424,0.6360005705320211,1.0,0.49657873265711794,1.0,0.8453435975025972,1.0,1.0,0.1439159736327168,0.10240747899629841,0.5419045002531527,0.788227952882168
10000,4,owa,4.0,4.0,2.0,285.14285714285717,164.55555555555554,480.0,9.0,7.0,176.86089951647816,178.1941156636292,480.4413949385899,0.9871520342612423,0.7260825780463241,0.9926046630084182,1.0,1.0,0.07927297110516132,1.0,0.875,0.13529492365661958,0.0490301704757133,0.9265496559003169,1.1108747500326497
10000,4,owa,6.0,2.0,2.0,220.71428571428572,173.44444444444446,480.0,9.0,7.0,160.46581498181405,116.86418653821235,504.8479473825167,0.26284796573875807,0.8872104733131927,0.0,0.31997725259338494,1.0,0.41363487761874,1.0,0.875,0.28077557408063375,0.17462729842014824,0.707396242008753,1.1627991145095349
10000,4,owa,6.0,4.0,0.0,286.2857142857143,166.66666666666666,480.0,9.0,7.0,176.98305003587208,175.7817911367332,474.6549106263124,1.0,0.7643504531722054,1.0,0.973252283578193,1.0,0.0,1.0,0.875,0.13086207411388814,0.04948966740366338,1.0,1.1803517415175515
10000,4,owa,8.0,2.0,0.0,197.33333333333334,179.66666666666666,450.0,9.0,6.0,166.77754645035404,88.00606039737643,547.6493276590901,0.0,1.0,0.38213002647736083,0.0,0.0,1.0,1.0,0.75,0.17622563057493745,0.375,0.5,1.0512256305749375
10000,4,owa,10.0,0.0,0.0,197.625,124.5,480.0,8.0,8.0,171.72735866566433,126.12571676137833,510.9226345624858,0.0032789079229121,0.0,0.6818056198263939,0.4226685701500628,1.0,0.4968561351738397,0.8888888888888888,1.0,0.3142649008074445,0.24590250078232312,0.6680668746324533,1.228234276222221
10000,5,owa,4.0,4.0,2.0,185.33333333333334,75.375,420.0,8.0,6.0,54.00248010177734,112.99498513945947,352.3000565009351,0.0,0.0,0.0,0.3687185385887899,0.0,0.0,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.2287678104395508,1.0,2.11765669932844
10000,5,owa,6.0,2.0,2.0,203.66666666666666,106.5,420.0,8.0,6.0,105.02924762723408,100.93099953268404,421.6268078505537,0.3057982525814136,0.9764705882352941,0.8570019940350789,0.0,0.0,0.7543350930227848,0.8888888888888888,0.8571428571428571,0.11071576070625798,0.25134546199533686,0.5700165287561811,0.932077751457776
10000,5,owa,6.0,4.0,0.0,245.28571428571428,83.22222222222223,480.0,9.0,7.0,81.33691931985403,133.64968423171862,391.82916991184004,1.0,0.24618736383442286,0.4590858886766746,1.0,1.0,0.4301109869053057,1.0,1.0,0.34388405542908257,0.05555555555555555,0.6992464285334622,1.0986860395181002
10000,5,owa,8.0,2.0,0.0,199.66666666666666,107.25,420.0,8.0,6.0,107.82889885634292,104.17421305998268,440.6325103913633,0.23907863383637784,1.0,0.9040225442737755,0.0991242024895436,0.0,0.9611335959813962,0.8888888888888888,0.8571428571428571,0.10540167450250158,0.23932018100447675,0.5099091678655258,0.8546310233725041
10000,5,owa,10.0,0.0,0.0,194.5,105.875,420.0,8.0,6.0,113.54349386908966,104.88040808463704,444.2045058509066,0.1528991262907068,0.9568627450980393,1.0,0.12070804765784282,0.0,1.0,0.8888888888888888,0.8571428571428571,0.10166820282982358,0.2642118070182925,0.5,0.8658800098481161
10000,6,owa,4.0,4.0,2.0,90.16666666666667,143.57142857142858,390.0,7.0,6.0,62.23840492508663,61.35606462825551,470.72424500484505,0.21899661781285235,0.9610389610389621,1.0,0.24901336654854966,0.0,0.7475189109904008,0.875,0.8571428571428571,0.09979753385657118,0.1988681327513018,0.572239873177254,0.870905539785127
10000,6,owa,6.0,2.0,2.0,71.66666666666667,144.0,420.0,8.0,6.0,51.58072729781375,35.3817278643464,444.08356157970746,0.0,1.0,0.3727822434719462,0.009636546182058869,1.0,0.35988580728726804,1.0,0.8571428571428571,0.1776168782021804,0.4204294113481151,0.7353558619711044,1.3334021515213998
10000,6,owa,6.0,4.0,0.0,73.16666666666667,135.28571428571428,390.0,7.0,6.0,45.24641527500378,35.74026674028423,449.5632092188532,0.017756482525366407,0.20779220779220706,0.0,0.012940803645103152,0.0,0.43961697587873755,0.875,0.8571428571428571,0.5998236790380399,0.40342327400885225,0.6946292081542059,1.6978761612010982
10000,6,owa,8.0,2.0,0.0,156.14285714285714,133.0,390.0,6.0,7.0,50.0,142.84423751232038,419.34985393310046,1.0,0.0,0.27975445035496743,1.0,0.0,0.0,0.75,1.0,0.45793935321870605,0.05555555555555555,1.0,1.5134949087742617
