index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,40000,3,owa,0.4,0.4,0.2,,,,40000.pickle,results_0.bag,params_0.yaml,2026-08-05T07:36:58,3882.3,completed,
1,40000,3,owa,0.6,0.2,0.2,,,,40000.pickle,results_1.bag,params_1.yaml,2026-08-05T08:41:47,3880.5,completed,
2,40000,3,owa,0.6,0.4,0,,,,40000.pickle,results_2.bag,params_2.yaml,2026-08-05T09:46:35,3884.2,completed,
3,40000,3,owa,0.8,0.2,0,,,,40000.pickle,results_3.bag,params_3.yaml,2026-08-05T10:51:27,3881.5,completed,
4,40000,3,owa,1,0,0,,,,40000.pickle,results_4.bag,params_4.yaml,2026-08-05T11:56:16,3884.7,completed,
