index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,35000,6,owa,0.4,0.4,0.2,,,0,35000_r0.pickle,results_0.bag,params_0.yaml,2026-08-09T02:55:47,1778.0,completed,
1,35000,6,owa,0.4,0.4,0.2,,,1,35000_r1.pickle,results_1.bag,params_1.yaml,2026-08-09T03:25:36,1941.5,completed,
2,35000,6,owa,0.4,0.4,0.2,,,2,35000_r2.pickle,results_2.bag,params_2.yaml,2026-08-09T03:58:09,1926.2,completed,
3,35000,6,owa,0.4,0.4,0.2,,,3,35000_r3.pickle,results_3.bag,params_3.yaml,2026-08-09T04:30:28,1921.2,completed,
4,35000,6,owa,0.4,0.4,0.2,,,4,35000_r4.pickle,results_4.bag,params_4.yaml,2026-08-09T05:02:40,1872.1,completed,
5,35000,6,owa,0.4,0.4,0.2,,,5,35000_r5.pickle,results_5.bag,params_5.yaml,2026-08-09T07:07:13,2009.8,completed,
10,35000,6,owa,0.6,0.2,0.2,,,2,35000_r2.pickle,results_10.bag,params_10.yaml,2026-08-09T13:47:14,1924.5,completed,
12,35000,6,owa,0.6,0.2,0.2,,,4,35000_r4.pickle,results_12.bag,params_12.yaml,2026-08-09T19:40:03,1915.8,completed,
13,35000,6,owa,0.6,0.2,0.2,,,5,35000_r5.pickle,results_13.bag,params_13.yaml,2026-08-09T20:12:09,1917.9,completed,
14,35000,6,owa,0.6,0.2,0.2,,,6,35000_r6.pickle,results_14.bag,params_14.yaml,2026-08-09T20:44:18,1887.5,completed,
15,35000,6,owa,0.6,0.2,0.2,,,7,35000_r7.pickle,results_15.bag,params_15.yaml,2026-08-09T21:15:55,1931.8,completed,
16,35000,6,owa,0.6,0.4,0.0,,,0,35000_r0.pickle,results_16.bag,params_16.yaml,2026-08-09T21:48:18,1915.3,completed,
17,35000,6,owa,0.6,0.4,0.0,,,1,35000_r1.pickle,results_17.bag,params_17.yaml,2026-08-09T22:20:24,1921.7,completed,
18,35000,6,owa,0.6,0.4,0.0,,,2,35000_r2.pickle,results_18.bag,params_18.yaml,2026-08-09T22:52:35,1917.8,completed,
19,35000,6,owa,0.6,0.4,0.0,,,3,35000_r3.pickle,results_19.bag,params_19.yaml,2026-08-09T23:24:44,1917.4,completed,
20,35000,6,owa,0.6,0.4,0.0,,,4,35000_r4.pickle,results_20.bag,params_20.yaml,2026-08-09T23:56:53,1916.8,completed,
21,35000,6,owa,0.6,0.4,0.0,,,5,35000_r5.pickle,results_21.bag,params_21.yaml,2026-08-10T00:29:01,1917.0,completed,
22,35000,6,owa,0.6,0.4,0.0,,,6,35000_r6.pickle,results_22.bag,params_22.yaml,2026-08-10T01:01:08,1918.5,completed,
23,35000,6,owa,0.6,0.4,0.0,,,7,35000_r7.pickle,results_23.bag,params_23.yaml,2026-08-10T01:33:17,1917.5,completed,
24,35000,6,owa,0.8,0.2,0.0,,,0,35000_r0.pickle,results_24.bag,params_24.yaml,2026-08-10T02:05:25,1916.4,completed,
25,35000,6,owa,0.8,0.2,0.0,,,1,35000_r1.pickle,results_25.bag,params_25.yaml,2026-08-10T02:37:33,1917.7,completed,
26,35000,6,owa,0.8,0.2,0.0,,,2,35000_r2.pickle,results_26.bag,params_26.yaml,2026-08-10T03:09:41,1915.7,completed,
27,35000,6,owa,0.8,0.2,0.0,,,3,35000_r3.pickle,results_27.bag,params_27.yaml,2026-08-10T03:41:47,1917.7,completed,
28,35000,6,owa,0.8,0.2,0.0,,,4,35000_r4.pickle,results_28.bag,params_28.yaml,2026-08-10T04:13:56,1920.3,completed,
29,35000,6,owa,0.8,0.2,0.0,,,5,35000_r5.pickle,results_29.bag,params_29.yaml,2026-08-10T04:46:08,1916.7,completed,
30,35000,6,owa,0.8,0.2,0.0,,,6,35000_r6.pickle,results_30.bag,params_30.yaml,2026-08-10T05:18:14,1914.7,completed,
31,35000,6,owa,0.8,0.2,0.0,,,7,35000_r7.pickle,results_31.bag,params_31.yaml,2026-08-10T05:50:19,1918.0,completed,
32,35000,6,owa,1.0,0.0,0.0,,,0,35000_r0.pickle,results_32.bag,params_32.yaml,2026-08-10T06:22:28,1919.9,completed,
33,35000,6,owa,1.0,0.0,0.0,,,1,35000_r1.pickle,results_33.bag,params_33.yaml,2026-08-10T06:54:40,1918.2,completed,
34,35000,6,owa,1.0,0.0,0.0,,,2,35000_r2.pickle,results_34.bag,params_34.yaml,2026-08-10T07:26:50,1921.9,completed,
35,35000,6,owa,1.0,0.0,0.0,,,3,35000_r3.pickle,results_35.bag,params_35.yaml,2026-08-10T07:59:05,1946.4,completed,
36,35000,6,owa,1.0,0.0,0.0,,,4,35000_r4.pickle,results_36.bag,params_36.yaml,2026-08-10T08:31:42,1919.9,completed,
38,35000,6,owa,1.0,0.0,0.0,,,6,35000_r6.pickle,results_38.bag,params_38.yaml,2026-08-10T09:31:07,1921.0,completed,
39,35000,6,owa,1.0,0.0,0.0,,,7,35000_r7.pickle,results_39.bag,params_39.yaml,2026-08-10T10:03:20,1922.2,completed,
6,35000,6,owa,0.4,0.4,0.2,,,6,35000_r6.pickle,results_6.bag,params_6.yaml,2026-08-10T16:19:01,1953.8,completed,
7,35000,6,owa,0.4,0.4,0.2,,,7,35000_r7.pickle,results_7.bag,params_7.yaml,2026-08-10T16:51:46,1919.1,completed,
8,35000,6,owa,0.6,0.2,0.2,,,0,35000_r0.pickle,results_8.bag,params_8.yaml,2026-08-10T17:23:56,1915.9,completed,
9,35000,6,owa,0.6,0.2,0.2,,,1,35000_r1.pickle,results_9.bag,params_9.yaml,2026-08-10T17:56:04,1918.6,completed,
11,35000,6,owa,0.6,0.2,0.2,,,3,35000_r3.pickle,results_11.bag,params_11.yaml,2026-08-10T18:28:13,1917.3,completed,
37,35000,6,owa,1,0,0,,,5,35000_r5.pickle,results_37.bag,params_37.yaml,2026-08-10T19:00:22,1883.2,completed,
