index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,20000,6,owa,0.4,0.4,0.2,,,,20000.pickle,results_0.bag,params_0.yaml,2026-08-06T11:38:06,1183.1,completed,
1,20000,6,owa,0.6,0.2,0.2,,,,20000.pickle,results_1.bag,params_1.yaml,2026-08-06T11:58:01,1178.7,completed,
2,20000,6,owa,0.6,0.4,0,,,,20000.pickle,results_2.bag,params_2.yaml,2026-08-06T12:17:51,1186.4,completed,
3,20000,6,owa,0.8,0.2,0,,,,20000.pickle,results_3.bag,params_3.yaml,2026-08-06T12:37:51,1190.8,completed,
4,20000,6,owa,1,0,0,,,,20000.pickle,results_4.bag,params_4.yaml,2026-08-06T12:57:55,1192.3,completed,
