index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,25000,4,owa,0.4,0.4,0.2,,,,25000.pickle,results_0.bag,params_0.yaml,2026-08-06T04:55:32,1917.4,completed,
1,25000,4,owa,0.6,0.2,0.2,,,,25000.pickle,results_1.bag,params_1.yaml,2026-08-06T05:27:39,1917.8,completed,
2,25000,4,owa,0.6,0.4,0,,,,25000.pickle,results_2.bag,params_2.yaml,2026-08-06T05:59:47,1918.5,completed,
3,25000,4,owa,0.8,0.2,0,,,,25000.pickle,results_3.bag,params_3.yaml,2026-08-06T06:31:55,1915.8,completed,
4,25000,4,owa,1,0,0,,,,25000.pickle,results_4.bag,params_4.yaml,2026-08-06T07:03:59,1911.8,completed,
