index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,50000,5,owa,0.4,0.4,0.2,,,,50000.pickle,results_0.bag,params_0.yaml,2026-08-05T10:00:32,2847.4,completed,
1,50000,5,owa,0.6,0.2,0.2,,,,50000.pickle,results_1.bag,params_1.yaml,2026-08-05T10:48:09,2844.9,completed,
2,50000,5,owa,0.6,0.4,0,,,,50000.pickle,results_2.bag,params_2.yaml,2026-08-05T11:35:45,2846.0,completed,
3,50000,5,owa,0.8,0.2,0,,,,50000.pickle,results_3.bag,params_3.yaml,2026-08-05T12:23:22,2846.0,completed,
4,50000,5,owa,1,0,0,,,,50000.pickle,results_4.bag,params_4.yaml,2026-08-05T13:11:00,2852.4,completed,
