index,area,auvs,aggregation,w1,w2,w3,alpha,beta,realization,scenario,bagfile,params_file,started_at,duration_s,outcome,warnings
0,50000,4,owa,0.4,0.4,0.2,,,,50000.pickle,results_0.bag,params_0.yaml,2026-08-05T01:56:38,3409.8,completed,
1,50000,4,owa,0.6,0.2,0.2,,,,50000.pickle,results_1.bag,params_1.yaml,2026-08-05T02:53:37,3407.9,completed,
2,50000,4,owa,0.6,0.4,0,,,,50000.pickle,results_2.bag,params_2.yaml,2026-08-05T03:50:33,3405.9,completed,
3,50000,4,owa,0.8,0.2,0,,,,50000.pickle,results_3.bag,params_3.yaml,2026-08-05T04:47:28,3406.2,completed,
4,50000,4,owa,1,0,0,,,,50000.pickle,results_4.bag,params_4.yaml,2026-08-05T05:44:23,3406.6,completed,
