area,auv_count,method,w1,w2,w3,regular_latency,priority_latency,transmitted_data,priority_objects,regular_objects,priority_std,regular_std,travelled_distance,regular_latency_normalized,priority_latency_normalized,priority_std_normalized,regular_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility
10000,3,owa,4.0,4.0,2.0,119.85714285714286,96.57142857142857,420.0,7.0,7.0,58.20039273308827,85.17712637288756,454.4384209078148,1.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.7,0.7368421052631579,0.20917666106555177,0.08344204541548228,1.0,1.2926187064810342
10000,3,owa,6.0,2.0,2.0,109.6,83.11111111111111,570.0,9.0,10.0,65.99705380629587,67.52810114644454,558.3828873811588,0.5219707057256986,0.5161888460989874,0.8464634310943676,0.44361001608040934,0.6961182860338987,1.0,1.0,1.0,0.2038095758774073,0.2757622338642376,0.4985166519459686,0.9780884616876135
10000,3,owa,6.0,4.0,0.0,111.1,84.55555555555556,570.0,9.0,10.0,65.27463349401341,66.16217449066598,554.9722236840497,0.5918774966711047,0.5681072600199687,0.7680321166528264,0.4005488327973061,0.6732769992620006,1.0,1.0,1.0,0.2081456535737315,0.27043309862250814,0.5100344537046299,0.9886132059008694
10000,3,owa,8.0,2.0,0.0,98.4,68.75,540.0,8.0,10.0,59.533304004685355,53.45652439132196,603.7585415809301,0.0,0.0,0.1447107470372892,0.0,1.0,0.8888888888888888,1.0,0.9473684210526315,0.4123425022158465,0.5,0.36787944117144233,1.2802219433872888
10000,3,owa,10.0,0.0,0.0,113.7,86.44444444444444,570.0,9.0,10.0,67.4112585387469,69.20830072244867,580.665228897148,0.7130492676431424,0.6360005705320211,1.0,0.49657873265711794,0.8453435975025972,1.0,1.0,1.0,0.16301000052345463,0.2297668786324285,0.4294097887289402,0.8221866678848233
10000,4,owa,4.0,4.0,2.0,285.14285714285717,164.55555555555554,480.0,9.0,7.0,176.86089951647816,178.1941156636292,480.4413949385899,0.9871520342612423,0.7260825780463241,0.9926046630084182,1.0,0.07927297110516132,1.0,0.875,1.0,0.15204033258412675,0.10548867825401706,0.9237877226691626,1.1813167335073065
10000,4,owa,6.0,2.0,2.0,220.71428571428572,173.44444444444446,480.0,9.0,7.0,160.46581498181405,116.86418653821235,504.8479473825167,0.26284796573875807,0.8872104733131927,0.0,0.31997725259338494,0.41363487761874,1.0,0.875,1.0,0.2916858230798184,0.3134974240832878,0.6612423415730739,1.2664255887361802
10000,4,owa,6.0,4.0,0.0,286.2857142857143,166.66666666666666,480.0,9.0,7.0,176.98305003587208,175.7817911367332,474.6549106263124,1.0,0.7643504531722054,1.0,0.973252283578193,0.0,1.0,0.875,1.0,0.14624631309490904,0.10678498978881193,1.0,1.253031302883721
10000,4,owa,8.0,2.0,0.0,197.33333333333334,179.66666666666666,450.0,9.0,6.0,166.77754645035404,88.00606039737643,547.6493276590901,0.0,1.0,0.38213002647736083,0.0,1.0,1.0,0.75,0.9375,0.20066712601951261,0.375,0.36787944117144233,0.943546567190955
10000,4,owa,10.0,0.0,0.0,197.625,124.5,480.0,8.0,8.0,171.72735866566433,126.12571676137833,510.9226345624858,0.0032789079229121,0.0,0.6818056198263939,0.4226685701500628,0.4968561351738397,0.8888888888888888,1.0,1.0,0.29854082326958026,0.3950944504364208,0.608440510703306,1.302075784409307
10000,5,owa,4.0,4.0,2.0,185.33333333333334,75.375,420.0,8.0,6.0,54.00248010177734,112.99498513945947,352.3000565009351,0.0,0.0,0.0,0.3687185385887899,0.0,0.8888888888888888,0.8571428571428571,0.875,0.4444444444444444,0.35044346063588283,1.0,1.7948879050803273
10000,5,owa,6.0,2.0,2.0,203.66666666666666,106.5,420.0,8.0,6.0,105.02924762723408,100.93099953268404,421.6268078505537,0.3057982525814136,0.9764705882352941,0.8570019940350789,0.0,0.7543350930227848,0.8888888888888888,0.8571428571428571,0.875,0.12251120823995569,0.36354914371736247,0.4703232319868176,0.9563835839441357
10000,5,owa,6.0,4.0,0.0,245.28571428571428,83.22222222222223,480.0,9.0,7.0,81.33691931985403,133.64968423171862,391.82916991184004,1.0,0.24618736383442286,0.4590858886766746,1.0,0.4301109869053057,1.0,1.0,1.0,0.33064411856494486,0.11920292202211755,0.6504369007383876,1.10028394132545
10000,5,owa,8.0,2.0,0.0,199.66666666666666,107.25,420.0,8.0,6.0,107.82889885634292,104.17421305998268,440.6325103913633,0.23907863383637784,1.0,0.9040225442737755,0.0991242024895436,0.9611335959813962,0.8888888888888888,0.8571428571428571,0.875,0.1152478922375605,0.35678236761626997,0.3824590860616389,0.8544893459154694
10000,5,owa,10.0,0.0,0.0,194.5,105.875,420.0,8.0,6.0,113.54349386908966,104.88040808463704,444.2045058509066,0.1528991262907068,0.9568627450980393,1.0,0.12070804765784282,1.0,0.8888888888888888,0.8571428571428571,0.875,0.11005064157124987,0.3703043608418313,0.36787944117144233,0.8482344435845235
10000,6,owa,4.0,4.0,2.0,90.16666666666667,143.57142857142858,390.0,7.0,6.0,62.23840492508663,61.35606462825551,470.72424500484505,0.21899661781285235,0.9610389610389621,1.0,0.24901336654854966,0.7475189109904008,0.875,0.8571428571428571,0.9285714285714286,0.1079353206146483,0.33007488140778574,0.4735399913043295,0.9115501933267636
