area,auv_count,method,a,b,regular_latency,priority_latency,priority_std,regular_std,transmitted_data,priority_objects,regular_objects,travelled_distance,regular_latency_normalized,priority_latency_normalized,priority_std_normalized,regular_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility
10000,3,artm,0.0,10.0,130.4,140.77777777777777,108.60453233840863,98.72318201246689,570.0,9.0,10.0,548.0461706788743,0.3924050632911393,1.0,1.0,0.41506564626021697,0.5162907870893652,1.0,1.0,1.0,0.11920292202211755,0.3084297338899224,0.5967298461079434,1.0243625020199834
10000,3,artm,2.5,7.5,93.2,103.33333333333333,84.04909279700763,70.0869301494778,570.0,9.0,10.0,500.80760666130874,0.0,0.32868525896414336,0.42767158248245074,0.04691119591670413,0.0,1.0,1.0,1.0,0.31943775742684016,0.48827435128942803,1.0,1.8077121087162682
10000,3,artm,5.0,5.0,188.0,110.44444444444444,77.48082199988444,144.22128059956262,570.0,9.0,10.0,576.9897365236969,1.0,0.4561752988047809,0.2745809393764236,1.0,0.8326275916044155,1.0,1.0,1.0,0.32502879809709084,0.11920292202211755,0.4349050308540665,0.8791367509732749
10000,3,artm,7.5,2.5,111.5,85.77777777777777,67.18031292309112,69.30488198292143,570.0,9.0,10.0,592.3036495868026,0.19303797468354428,0.01394422310756961,0.03450077100449469,0.03685699907983299,1.0,1.0,1.0,1.0,0.48789111959125464,0.4427780579121204,0.36787944117144233,1.2985486186748174
10000,3,artm,10.0,0.0,112.3,85.0,65.70007610345668,66.43802458766449,570.0,9.0,10.0,554.2174124572196,0.2014767932489451,0.0,0.0,0.0,0.5837389693388482,1.0,1.0,1.0,0.5,0.4498004988494432,0.5578088325260833,1.5076093313755266
10000,4,artm,0.0,10.0,262.6666666666667,153.75,187.19260516529874,112.70255838563145,420.0,8.0,6.0,634.1170701298328,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.9333333333333333,0.11920292202211755,0.20170606602749636,0.36787944117144233,0.6887884292210562
10000,4,artm,2.5,7.5,231.375,85.0,114.03800536078604,127.61206559614293,450.0,7.0,8.0,503.02278666177864,0.1580717488789237,0.043715846994535464,0.020131009392436616,0.7130362208067544,0.0,0.875,1.0,1.0,0.42353824267662915,0.295023808868443,1.0,1.7185620515450721
10000,4,artm,5.0,5.0,243.5,89.0,127.27136362905836,133.2634340587952,450.0,7.0,8.0,552.0706001283331,0.48430493273542574,0.0993541977148534,0.19738517308591838,0.9833087626218924,0.3741415122689676,0.875,1.0,1.0,0.3730604184252492,0.18730559150676285,0.6878795615434815,1.2482455714754934
10000,4,artm,7.5,2.5,225.5,81.85714285714286,112.53507389762028,124.62171331100944,450.0,7.0,8.0,528.6173659002761,0.0,0.0,0.0,0.5700248212905344,0.19523795059099228,0.875,1.0,1.0,0.4375,0.361231097487631,0.8226388873556457,1.6213699848432768
10000,4,artm,10.0,0.0,245.0,89.57142857142857,126.92236097034169,133.61244595577807,450.0,7.0,8.0,553.6042282881325,0.5246636771300446,0.10730253353204165,0.1927104583881426,1.0,0.3858401776815834,0.875,1.0,1.0,0.3723600188074715,0.17877579557016837,0.6798791768639373,1.2310149912415773
